GeneID,log2 FC,log10 p-value
ABCA7,1.156929531,-1.302506262
ABHD2,1.132869734,-1.305415387
ABHD3,1.431448032,-2.349083304
ABTB2,1.043056251,-2.612571089
AC002091.2,1.383219449,-1.332440273
AC002456.1,2.319308727,-1.522899528
AC002467.1,1.750329885,-2.894340421
AC004069.1,1.661574824,-3.241905729
AC004233.2,5.11792764,-1.40029778
AC004241.1,1.626661094,-1.415030237
AC004687.1,1.539617557,-4.359772157
AC004771.2,1.216660626,-1.458156284
AC004951.1,1.777978281,-3.483284062
AC004951.2,1.111540553,-1.44023635
AC005070.3,1.46249955,-2.743612112
AC005072.1,1.727611614,-2.288796508
AC005082.1,1.337393088,-1.477532196
AC005264.1,1.142166724,-1.71320119
AC005840.4,1.041192233,-1.895296104
AC005954.1,1.283432103,-1.573592875
AC006033.2,2.245281362,-2.174402815
AC006330.1,2.191743727,-5.335730776
AC006435.2,1.221200257,-1.765111869
AC006504.5,1.094360193,-2.224709085
AC006538.1,2.700355451,-3.157072937
AC007191.1,1.3965375,-2.008206867
AC007292.2,1.324490376,-2.220164424
AC007298.2,4.638714732,-1.698437895
AC007342.3,3.017182303,-1.622513401
AC007342.7,2.804403962,-1.762398872
AC007406.4,1.083323128,-1.875259618
AC007546.3,2.496791271,-1.414589988
AC007637.1,1.086141685,-1.419943695
AC007785.3,1.439423925,-1.43592279
AC007879.3,1.503215786,-1.54832806
AC008569.2,1.663904423,-1.716997264
AC008750.6,1.44061684,-1.424226788
AC008750.7,1.455127419,-1.586766025
AC008764.6,2.747432417,-1.533129179
AC008764.8,1.391537191,-2.269882644
AC008770.3,1.385518143,-1.596407485
AC008895.1,1.288487331,-1.40621392
AC008945.1,1.238575723,-1.432259148
AC008969.1,1.076241501,-2.029287358
AC009061.2,1.737184656,-2.336837361
AC009065.4,1.895623814,-3.64182537
AC009093.7,2.098322778,-2.680229543
AC009093.8,1.561323902,-1.763850217
AC009120.5,2.120899632,-4.133796187
AC009159.3,1.159024866,-1.466172089
AC009163.7,1.893965358,-1.478246625
AC009226.1,1.335415041,-1.949667076
AC009237.14,2.158399351,-3.130297561
AC009948.1,1.416254382,-1.722855204
AC009996.1,1.275063056,-1.419527301
AC010168.2,1.100968817,-2.444939215
AC010210.1,1.293419528,-2.112018153
AC010359.3,3.002688408,-1.569598223
AC010422.4,1.986196406,-1.792742262
AC010619.2,1.617275682,-5.526857791
AC010680.3,1.299823112,-1.524041067
AC011447.7,2.137378132,-1.320032193
AC011468.1,1.084532348,-2.557480555
AC011676.5,2.278416992,-1.471525107
AC011726.2,2.232699513,-1.453814981
AC011933.2,2.4048334,-1.420947936
AC011944.2,1.391991542,-1.583266668
AC012020.1,1.288701862,-2.266956708
AC012184.3,1.220605459,-2.492506675
AC012313.4,2.396454046,-1.850628293
AC012645.1,4.435495309,-1.55733891
AC012651.1,1.23367937,-3.084232729
AC013731.1,1.614813095,-2.093434673
AC015802.4,2.755580684,-1.691029191
AC015871.3,1.563128906,-2.56884772
AC015871.8,2.140112351,-1.602146727
AC016583.1,2.217533075,-3.647325586
AC016590.2,1.7512893,-2.528786761
AC017104.5,1.844942843,-1.408503619
AC017116.2,1.322280186,-1.586605646
AC018445.5,2.488321491,-1.679752621
AC018529.3,1.759692908,-1.994067895
