ensembl_gene_id,log2 FC,log10 p-value
ENSG00000252034,1.066036328,-4.063215818
ENSG00000252983,1.158907993,-3.268077969
ENSG00000199459,1.014176755,-3.34463312
ENSG00000143858,1.124358378,-2.49531432
ENSG00000200522,1.014309811,-3.24498894
ENSG00000252196,1.361554234,-3.593125162
ENSG00000198982,1.237903361,-2.300068019
ENSG00000207334,1.156301912,-2.578496408
ENSG00000238437,1.148890077,-2.00785552
ENSG00000138061,-1.050380207,-1.730870569
ENSG00000103888,-1.102964718,-1.775701411
ENSG00000011600,-1.375813856,-2.854749172
ENSG00000130208,-1.021151099,-1.375847287
ENSG00000165168,-1.225775309,-3.81048232
ENSG00000226958,-1.041292453,-1.933886636
ENSG00000173372,-1.408431309,-3.204792354
ENSG00000159189,-1.450435346,-2.671217924
ENSG00000173369,-1.262752941,-2.343651814
ENSG00000204472,-1.112162564,-2.839001272
ENSG00000200150,-1.080878008,-1.592670499
ENSG00000201263,-1.482515808,-1.898993801
