ensembl_gene_id,Log2 RPKM mean_FemaleASD,Log2 RPKM mean_MaleASD,Log2 RPKM mean_MaleControl,Log2 RPKM mean_FemaleControl
ENSG00000101557,2.37251,2.26766,2.38849,2.08554
ENSG00000079134,1.93715,1.86096,1.83894,1.71768
ENSG00000158270,1.08565,1.57945,1.0179,0.883145
ENSG00000132199,0.810152,0.885633,0.966368,0.846096
ENSG00000176105,1.17036,1.26145,1.1777,1.19008
ENSG00000141433,0.831629,0.961684,0.777341,0.769671
ENSG00000101574,0.740751,0.72319,0.702679,0.614912
ENSG00000101596,2.07658,1.99144,1.91563,1.79953
ENSG00000207034,0.96073,0.522823,0.622455,0.505651
ENSG00000101577,2.21395,2.20442,2.03321,1.87838
ENSG00000101608,1.7205,1.9825,1.69837,1.67755
ENSG00000118680,4.19263,4.36769,4.22981,3.97335
ENSG00000170579,3.42235,3.19071,3.18575,2.91371
ENSG00000228344,1.17304,1.20398,1.27373,0.97852
ENSG00000198081,1.09069,1.07109,1.04748,1.00938
ENSG00000082397,3.66811,3.23561,3.51748,3.30863
ENSG00000154655,0.836596,0.90962,0.799142,0.6807
ENSG00000235552,0.576431,0.890725,0.732766,0.610102
ENSG00000173482,2.30551,2.19272,2.17442,1.88724
ENSG00000206418,2.894,2.90008,2.82079,2.63487
ENSG00000168502,1.32711,1.09458,1.08146,0.883865
ENSG00000178127,2.96944,2.76948,2.81139,2.61679
ENSG00000101745,2.6581,2.63709,2.64071,2.51472
ENSG00000128791,1.05768,1.20479,1.12343,1.09478
ENSG00000017797,2.61879,2.50365,2.52133,2.3209
ENSG00000154845,1.92829,1.8185,1.76179,1.6403
ENSG00000168461,2.50786,2.66058,2.37122,2.22357
ENSG00000101558,3.01641,2.92936,2.94371,2.78647
ENSG00000154856,1.49995,1.57415,1.41342,1.34298
ENSG00000134265,3.55905,3.40162,3.49719,3.31106
ENSG00000154864,0.563288,0.513097,0.764189,0.829645
ENSG00000141404,1.78891,1.84994,1.89595,1.59944
ENSG00000255112,2.54766,2.48091,2.5542,2.40306
ENSG00000154889,1.1154,1.21322,1.1627,0.981222
ENSG00000141385,2.63793,2.45785,2.56736,2.40987
ENSG00000141391,0.604562,0.549667,0.576807,0.513732
ENSG00000134278,2.67939,2.55116,2.56039,2.359
ENSG00000101624,0.826773,0.773728,0.742639,0.657724
ENSG00000128789,1.84858,1.77162,1.776,1.61722
ENSG00000175354,1.32795,1.34744,1.32581,1.13553
