ensembl_gene_id;sample38;Log2 RPKM mean_FemaleASD;sample39;sample44;sample45;sample48;sample49;Log2 RPKM mean_MaleASD;SD;log2 FC;t-value;p-value;log10 p-value
ENSG00000079101;0,879487924;0,879488;0,878309019;0,902651825;0,381266951;0,453426859;0,885065381;0,700144;0,259566961;0,329012219;1,544977846;0,197240032;-0,705004936
ENSG00000101605;0,582701345;0,582701;0,626354535;0,490321183;0,560247856;0,520727096;0,51804298;0,543139;0,052771592;0,101434327;1,676358267;0,168975413;-0,772176482
ENSG00000238445;0,987459323;0,987459;1,023063991;0,726889375;0,303640398;0,153860278;0,631178543;0,567727;0,34558571;0,798523493;2,715824118;0,053215915;-1,273958465
ENSG00000207278;0,71084174;0,710842;0,935143835;0,779291584;0,9341376;0,62941246;0,465744639;0,748746;0,202717473;-0,074947465;-0,418101607;0,697343188;-0,156553437
ENSG00000250933;0,526433927;0,526434;0,509824797;0,4259456;0,719528431;0,604512426;0,582561935;0,568475;0,109622936;-0,110844235;-0,857545886;0,439485495;-0,357055454
ENSG00000206432;0,803397991;0,803398;0,592918898;0,75486944;0,857649617;0,512705409;0,598245607;0,663278;0,139661231;0,276501195;2,243413031;0,088287204;-1,054102235
ENSG00000207092;0,503331224;0,503331;0,739635386;0,415710628;0,213169454;0,426798514;0,970337585;0,55313;0,299692897;-0,136111136;-0,371558514;0,72906598;-0,137233167
ENSG00000238309;0,503331224;0,503331;0,252607277;0,73804245;0,563349804;0,75573747;0,847528629;0,631453;0,235403242;-0,3271679;-1,217013823;0,290490841;-0,536867555
ENSG00000215527;0,747660969;0,747661;0,721115767;0,818753877;0,833826196;1,141064676;0,746094285;0,852171;0,16833043;-0,188758676;-1,388290483;0,23736366;-0,624585769
ENSG00000186481;0,798607775;0,798608;0,53713132;0,511495782;0,496575449;0,522260877;0,793609075;0,572215;0,124649288;0,480930207;4,061231644;0,015333153;-1,814368521
ENSG00000212329;0,844745986;0,844746;1,243743339;0,779291584;0,464122844;0,988763038;0,993259842;0,893836;0,291163703;-0,081492538;-0,37699963;0,725321636;-0,139469367
ENSG00000180777;0,700043932;0,700044;0,664988986;0,91710468;0,336549586;0,38937134;0,839816803;0,629566;0,260619826;0,153087973;0,6046871;0,578011737;-0,238063343
