ensembl_gene_id;log2 FC;log10 p-value
ENSG00000101557;-0,07489486;-0,568721425
ENSG00000079134;0,017173424;-0,073625667
ENSG00000158270;0,633828625;-1,544397936
ENSG00000132199;-0,125864432;-0,283740458
ENSG00000176105;0,099117796;-0,458908263
ENSG00000141433;0,307016891;-0,780211172
ENSG00000101574;0,041508164;-0,120816558
ENSG00000101596;0,0559974;-0,285754669
ENSG00000207034;-0,251646181;-0,400721661
ENSG00000101577;0,116638166;-0,821240896
ENSG00000101608;0,223174243;-1,531429132
ENSG00000118680;0,046278655;-0,378443899
ENSG00000170579;0,002245765;-0,009252904
ENSG00000228344;-0,081245556;-0,233341457
ENSG00000198081;0,032158392;-0,129721373
ENSG00000082397;-0,120502027;-1,031117113
ENSG00000154655;0,186810912;-0,893925751
ENSG00000235552;0,281626329;-0,771047289
ENSG00000173482;0,012095372;-0,061188318
ENSG00000206418;0,039991084;-0,212434298
ENSG00000168502;0,017399852;-0,039843293
ENSG00000178127;-0,021664332;-0,094443407
ENSG00000101745;-0,001979322;-0,009226992
ENSG00000128791;0,10086457;-0,541030994
ENSG00000017797;-0,010153639;-0,048689293
ENSG00000154845;0,045703408;-0,231235842
ENSG00000168461;0,16611123;-1,521420522
ENSG00000101558;-0,007052882;-0,033493727
ENSG00000154856;0,155385475;-1,062204865
ENSG00000134265;-0,03997131;-0,218316056
ENSG00000154864;-0,574699105;-0,922617277
ENSG00000141404;-0,03544024;-0,107816947
ENSG00000255112;-0,042001675;-0,222159291
ENSG00000154889;0,061360982;-0,265565775
ENSG00000141385;-0,062888235;-0,330236205
ENSG00000141391;-0,069529617;-0,180690291
ENSG00000134278;-0,005206984;-0,026089779
ENSG00000101624;0,059165649;-0,193815928
ENSG00000128789;-0,003555011;-0,012916362
ENSG00000175354;0,023345324;-0,09835401
ENSG00000085415;-0,079791621;-0,384630575
ENSG00000101639;0,032600408;-0,14240557
ENSG00000168675;-0,025862123;-0,091449223
ENSG00000177150;-0,015073679;-0,045308354
ENSG00000101654;-0,024049579;-0,111232495
ENSG00000175322;0,14012933;-0,405474467
ENSG00000252234;-0,046930104;-0,052049176
ENSG00000067900;0,058126508;-0,313267181
ENSG00000141446;-0,028446;-0,113890114
ENSG00000167088;0,012160897;-0,046753831
ENSG00000158201;0,297464252;-1,414827555
ENSG00000101752;-0,014215178;-0,061054907
ENSG00000199977;0,267824795;-1,052798176
ENSG00000101773;0,103917893;-0,396210111
ENSG00000134508;0,100120353;-0,298603069
ENSG00000134490;0,080305042;-0,326658165
ENSG00000101782;0,0000631;-0,000244386
ENSG00000141452;0,016906097;-0,056045731
ENSG00000141458;-0,177089279;-0,477353194
ENSG00000154065;-0,021454721;-0,051429419
ENSG00000168234;0,023535818;-0,052779558
ENSG00000154040;-0,025083276;-0,05236669
ENSG00000141447;-0,032163529;-0,17792211
ENSG00000154059;0,091005128;-0,550547446
ENSG00000198795;0,074640788;-0,222204745
ENSG00000141380;0,048212874;-0,261886473
ENSG00000141384;-0,089723019;-0,203703534
ENSG00000134504;-0,032562844;-0,079383728
ENSG00000171885;0,150676039;-0,609320469
ENSG00000170558;-0,017367828;-0,093002813
ENSG00000118276;-0,048254137;-0,169129459
ENSG00000259985;-0,141328973;-0,305629179
ENSG00000153339;-0,041734539;-0,179575037
ENSG00000134758;0,063091945;-0,320520323
ENSG00000238982;0,034574923;-0,060746573
ENSG00000141441;0,080535188;-0,39482621
ENSG00000215492;0,151024786;-0,578201934
ENSG00000141431;0,167442102;-0,453415743
ENSG00000101746;0,103502075;-0,383647632
ENSG00000134769;0,131758429;-0,874039727
ENSG00000166974;-0,006121365;-0,037146443
ENSG00000186812;-0,123133753;-0,593208403
ENSG00000186814;0,10760259;-0,571829713
ENSG00000257267;-0,052411832;-0,187698042
ENSG00000172466;-0,033858894;-0,174613917
ENSG00000153391;-0,052461344;-0,198033253
ENSG00000141429;0,075868782;-0,34096352
ENSG00000141428;-0,018188688;-0,081900747
ENSG00000141425;-0,012825505;-0,061761269
ENSG00000141424;-0,027864908;-0,152314389
ENSG00000134759;0,026414473;-0,112974303
ENSG00000134775;0,041732014;-0,14793935
ENSG00000134779;-0,00064688;-0,003438963
ENSG00000150477;0,090393066;-0,546343985
ENSG00000101489;-0,008560456;-0,032563397
ENSG00000078142;-0,014097992;-0,058647073
ENSG00000152214;0,029352205;-0,078131477
ENSG00000132872;-0,024057252;-0,129424816
ENSG00000152217;0,188757037;-0,431720534
ENSG00000141469;0,320643833;-0,24358715
ENSG00000152223;-0,000517985;-0,002449175
ENSG00000252034;-0,504118829;-2,33123393
ENSG00000152234;-0,010155706;-0,060230708
ENSG00000152240;0,188839258;-0,850482894
ENSG00000152242;0,033897871;-0,1364385
ENSG00000141622;0,107575424;-0,164053459
ENSG00000101638;-0,04356775;-0,097023701
ENSG00000260044;0,067629343;-0,248217073
ENSG00000078043;0,043245929;-0,293422386
ENSG00000167216;0,138710909;-0,579865915
ENSG00000167220;-0,040726992;-0,220450078
ENSG00000134049;0,032739396;-0,125292345
ENSG00000175387;0,058178499;-0,328684351
ENSG00000134030;0,003345387;-0,018051628
ENSG00000101665;0,030355554;-0,127534568
ENSG00000141627;0,051868851;-0,321652475
ENSG00000177576;0,020865823;-0,158840138
ENSG00000215472;0,050305749;-0,636701349
ENSG00000202093;0,041109342;-0,050224022
ENSG00000206602;-0,035979122;-0,078896267
ENSG00000167315;0,192277676;-1,420188176
ENSG00000251992;0,115782484;-0,847040167
ENSG00000252139;0,040288564;-0,222934229
ENSG00000141644;0,065257528;-0,357211116
ENSG00000154832;0,113473064;-0,557232409
ENSG00000141639;0,106299503;-0,330452435
ENSG00000134042;0,126926597;-0,5759777
ENSG00000082212;0,051328677;-0,280234003
ENSG00000141646;0,110702952;-0,630858439
ENSG00000176624;0,014430756;-0,054415414
ENSG00000187323;-0,043731608;-0,102565262
ENSG00000134046;0,064009299;-0,265101322
ENSG00000207233;0,034309455;-0,069458376
ENSG00000101751;0,061055169;-0,290023414
ENSG00000041353;-0,004037968;-0,012774825
ENSG00000166510;-0,075455153;-0,132219752
ENSG00000196628;0,060314407;-0,437578495
ENSG00000091164;-0,0404951;-0,185817238
ENSG00000091157;-0,074711077;-0,507356597
ENSG00000177511;-0,043020999;-0,212130477
ENSG00000066926;-0,100247866;-0,614623816
ENSG00000134440;-0,044418753;-0,239123922
ENSG00000049759;0,034492971;-0,152285626
ENSG00000172175;0,153157045;-0,827143002
ENSG00000074657;0,077363684;-0,457850426
ENSG00000166562;-0,020103448;-0,091037304
ENSG00000074695;0,056458343;-0,208128139
ENSG00000101542;-0,023044017;-0,084793394
ENSG00000206769;-0,250287271;-0,321653063
ENSG00000176641;0,138849943;-0,320655285
ENSG00000197563;0,021039623;-0,06267081
ENSG00000134444;-0,012781752;-0,058627712
ENSG00000141664;0,05363783;-0,265121791
ENSG00000081913;-0,107506464;-0,49331575
ENSG00000171791;0,075626654;-0,194281168
ENSG00000119537;-0,021358447;-0,054879981
ENSG00000119541;0,018692855;-0,074425196
ENSG00000081138;0,040971466;-0,070476771
ENSG00000171451;-0,095802956;-0,40328279
ENSG00000166479;-0,056615731;-0,16501327
ENSG00000150636;0,087440542;-0,193414018
ENSG00000206052;0,066526261;-0,180751005
ENSG00000176225;0,045971426;-0,150577064
ENSG00000170677;0,091291088;-0,502958629
ENSG00000141668;-0,069948787;-0,426759115
ENSG00000166342;-0,013370227;-0,047667259
ENSG00000075336;-0,016530994;-0,058850451
ENSG00000166347;0,047725757;-0,224773374
ENSG00000187773;0,170319032;-0,817791054
ENSG00000133313;-0,100274189;-0,579049422
