ensembl_gene_id;log2 FC;log10 p-value
ENSG00000101557;0,065208597;-1,178461119
ENSG00000079134;0,05788728;-0,45465513
ENSG00000158270;-0,540862209;-1,327852608
ENSG00000132199;-0,128516619;-0,458810484
ENSG00000176105;-0,108130241;-0,865056896
ENSG00000141433;-0,209624287;-0,583670542
ENSG00000101574;0,034614248;-0,126817194
ENSG00000101596;0,060397076;-0,465801513
ENSG00000207034;0,877808058;-2,160152549
ENSG00000101577;0,006226751;-0,049456014
ENSG00000101608;-0,204496368;-1,578187247
ENSG00000118680;-0,059015537;-1,821865753
ENSG00000170579;0,101109217;-0,761230625
ENSG00000228344;-0,037553681;-0,11397524
ENSG00000198081;0,026165153;-0,216106919
ENSG00000082397;0,180996845;-1,756133763
ENSG00000154655;-0,120731741;-0,764981654
ENSG00000235552;-0,627830855;-1,720851619
ENSG00000173482;0,072361543;-1,929223545
ENSG00000206418;-0,003024987;-0,020240859
ENSG00000168502;0,277906631;-1,138569862
ENSG00000178127;0,10057587;-0,822330365
ENSG00000101745;0,011452346;-0,075072959
ENSG00000128791;-0,187868067;-1,573652674
ENSG00000017797;0,064866767;-0,695824148
ENSG00000154845;0,084572408;-1,054225287
ENSG00000168461;-0,085282283;-1,05208757
ENSG00000101558;0,042246235;-0,369100151
ENSG00000154856;-0,069662991;-1,07903463
ENSG00000134265;0,065267937;-0,58186683
ENSG00000154864;0,134642702;-0,188288936
ENSG00000141404;-0,048398129;-0,206128921
ENSG00000255112;0,038301731;-0,359828908
ENSG00000154889;-0,121271227;-1,073280023
ENSG00000141385;0,102006325;-0,925709073
ENSG00000141391;0,137332262;-0,486275223
ENSG00000134278;0,070749172;-0,815573505
ENSG00000101624;0,095665776;-0,586797485
ENSG00000128789;0,061348495;-0,414838737
ENSG00000175354;-0,021019914;-0,143975859
ENSG00000085415;0,109581599;-0,847754279
ENSG00000101639;0,092828558;-0,971141858
ENSG00000168675;-0,094479545;-0,534963801
ENSG00000177150;0,030212231;-0,134083103
ENSG00000101654;0,042897306;-0,334843557
ENSG00000175322;0,14994396;-0,57051898
ENSG00000252234;0,249870944;-0,393387892
ENSG00000067900;-0,016399344;-0,138802772
ENSG00000141446;0,23220332;-1,89455575
ENSG00000167088;0,031869852;-0,197787148
ENSG00000158201;-0,04439315;-0,198997415
ENSG00000101752;0,01797628;-0,114242534
ENSG00000199977;-0,328103043;-1,797913939
ENSG00000101773;0,116533028;-0,628156917
ENSG00000134508;0,107653966;-0,413946617
ENSG00000134490;0,060395551;-0,44912644
ENSG00000101782;0,052877484;-0,38827625
ENSG00000141452;0,111842344;-0,676680755
ENSG00000141458;-0,074946553;-0,192256908
ENSG00000154065;0,378690084;-1,70305198
ENSG00000168234;0,376878794;-1,508321391
ENSG00000154040;0,139703321;-0,468295406
ENSG00000141447;0,053884301;-0,488733841
ENSG00000154059;-0,090333649;-1,231547056
ENSG00000198795;-0,084271032;-0,305054982
ENSG00000141380;-0,029742643;-0,263640263
ENSG00000141384;0,312082649;-1,037780066
ENSG00000134504;0,187659732;-0,699908683
ENSG00000171885;-0,109000006;-0,449821076
ENSG00000170558;0,071856616;-0,775903396
ENSG00000118276;0,113585404;-0,601338445
ENSG00000259985;0,341981864;-1,116953188
ENSG00000153339;0,078403936;-0,520565851
ENSG00000134758;0,011424033;-0,080831788
ENSG00000238982;-0,371011616;-1,052158486
ENSG00000141441;-0,021343289;-0,162934111
ENSG00000215492;-0,157342812;-1,063658492
ENSG00000141431;-0,080135987;-0,212994639
ENSG00000101746;-0,036154565;-0,143107719
ENSG00000134769;-0,032695589;-0,203227273
ENSG00000166974;-0,007090629;-0,082262367
ENSG00000186812;0,043958205;-0,333573844
ENSG00000186814;-0,049484424;-0,376105808
ENSG00000257267;0,004700455;-0,018245533
ENSG00000172466;0,015422172;-0,122208179
ENSG00000153391;0,046305058;-0,252969746
ENSG00000141429;-0,060612988;-0,44103331
ENSG00000141428;0,086383617;-1,148376647
ENSG00000141425;0,049990725;-0,402973533
ENSG00000141424;-0,023821565;-0,333170158
ENSG00000134759;0,046239182;-0,312164243
ENSG00000134775;0,022752396;-0,101290413
ENSG00000134779;0,023513157;-0,376520358
ENSG00000150477;-0,222027343;-2,990698932
ENSG00000101489;0,077005751;-0,48929053
ENSG00000078142;0,08953102;-0,681181578
ENSG00000152214;-0,027935594;-0,110013711
ENSG00000132872;0,070152912;-0,725042836
ENSG00000152217;-0,041018502;-0,084639866
ENSG00000141469;0,114921318;-0,095142993
ENSG00000152223;0,069683462;-1,247667799
ENSG00000252034;1,066036328;-4,063215818
ENSG00000152234;0,043503459;-0,477815556
ENSG00000152240;-0,028615612;-0,133415613
ENSG00000152242;0,070613138;-0,477326554
ENSG00000141622;-0,288356523;-0,516545212
ENSG00000101638;0,139270357;-0,423568777
ENSG00000260044;0,11877636;-0,977499861
ENSG00000078043;0,013460582;-0,178972393
ENSG00000167216;-0,284371677;-1,689119211
ENSG00000167220;-0,010725715;-0,079755404
ENSG00000134049;-0,012299473;-0,065235056
ENSG00000175387;-0,011527204;-0,103934577
ENSG00000134030;0,121614732;-2,633206546
ENSG00000101665;0,018242168;-0,199588465
ENSG00000141627;-0,00808855;-0,068944342
ENSG00000177576;-0,001596581;-0,026173002
ENSG00000215472;0,005440434;-0,112139965
ENSG00000202093;0,501450729;-1,168177017
ENSG00000206602;-0,335375955;-0,987517307
ENSG00000167315;-0,339142886;-2,892860273
ENSG00000251992;-0,110198479;-1,167118184
ENSG00000252139;0,06035446;-0,49207492
ENSG00000141644;0,017195749;-0,141129433
ENSG00000154832;0,043225045;-0,31856307
ENSG00000141639;-0,018525744;-0,054873998
ENSG00000134042;-0,054755136;-0,29838366
ENSG00000082212;0,023462625;-0,294509763
ENSG00000141646;-0,047467143;-0,383025482
ENSG00000176624;-0,061002555;-0,476766773
ENSG00000187323;0,182319299;-0,663048218
ENSG00000134046;-0,04971794;-0,264445841
ENSG00000207233;0,083947945;-0,295042072
ENSG00000101751;-0,089361507;-0,723908972
ENSG00000041353;0,011375845;-0,050553412
ENSG00000166510;0,301502821;-0,864190877
ENSG00000196628;0,001701396;-0,020239388
ENSG00000091164;0,083308473;-0,699109003
ENSG00000091157;0,11069163;-1,222957557
ENSG00000177511;0,057027143;-0,389996237
ENSG00000066926;0,083749793;-1,271270644
ENSG00000134440;0,087640584;-0,693257391
ENSG00000049759;0,039911806;-0,253115799
ENSG00000172175;0,068425317;-0,513128376
ENSG00000074657;-0,024799098;-0,194168108
ENSG00000166562;0,043155494;-0,322672517
ENSG00000074695;-0,011842083;-0,047822121
ENSG00000101542;0,017867904;-0,097634636
ENSG00000206769;0,31240877;-0,495591475
ENSG00000176641;-0,282764342;-0,807861182
ENSG00000197563;-0,01893237;-0,070853841
ENSG00000134444;0,055474988;-0,541716369
ENSG00000141664;0,033409007;-0,240036874
ENSG00000081913;-0,035549293;-0,218700462
ENSG00000171791;0,248296559;-0,956016653
ENSG00000119537;0,036788327;-0,121362275
ENSG00000119541;0,038339518;-0,247259446
ENSG00000081138;0,017370306;-0,034491756
ENSG00000171451;-0,145465038;-0,972103157
ENSG00000166479;0,070532481;-0,248273092
ENSG00000150636;0,051896335;-0,127390572
ENSG00000206052;-0,121042331;-0,419685212
ENSG00000176225;-0,259974231;-1,856262073
ENSG00000170677;-0,258332133;-2,261709354
ENSG00000141668;0,150518567;-1,89442419
ENSG00000166342;0,107895253;-0,721410173
ENSG00000075336;0,062452738;-0,386401536
ENSG00000166347;-0,026414418;-0,191982828
ENSG00000187773;-0,36561398;-3,030511306
ENSG00000133313;0,099566315;-1,16621272
ENSG00000150656;0,181930931;-0,231433046
ENSG00000215421;0,040129284;-0,257376298
ENSG00000180011;0,240756557;-1,425991064
ENSG00000179981;0,223431644;-1,013669518
ENSG00000130856;0,112305035;-1,03925123
ENSG00000197971;0,181501249;-0,672170007
ENSG00000166377;0,058285559;-0,418668787
ENSG00000060069;0,083634139;-0,321146625
ENSG00000122490;0,020877446;-0,097351152
ENSG00000226742;0,085928383;-0,510433627
ENSG00000141759;-0,066886724;-0,643498001
ENSG00000101546;0,15604977;-1,975839748
ENSG00000101544;0,041548111;-0,750415647
ENSG00000015171;-0,072319741;-0,967486497
ENSG00000151240;0,122808583;-1,299082254
ENSG00000107929;0,082419995;-0,646432643
ENSG00000107937;0,050939916;-0,30830863
ENSG00000067064;-0,079467412;-0,664024159
ENSG00000238924;0,530252183;-0,937265349
ENSG00000047056;0,043632689;-0,461046044
ENSG00000185736;0,012505767;-0,019650597
ENSG00000067057;0,210547452;-1,94573579
ENSG00000107959;0,177972837;-1,468823111
ENSG00000067082;-0,190872017;-0,67822273
ENSG00000165568;0,161165833;-0,630937589
ENSG00000173848;0,000577476;-0,003071995
ENSG00000196372;0,192999214;-1,887654858
ENSG00000108021;0,044204125;-0,377170936
ENSG00000057608;0,010807152;-0,087674108
ENSG00000134461;0,031033078;-0,23011745
ENSG00000134452;0,036193631;-0,341188175
ENSG00000134453;0,043922741;-0,407468511
ENSG00000170525;0,110567325;-1,017211303
ENSG00000065675;0,065637829;-0,224822892
ENSG00000237943;0,110400124;-0,209112673
ENSG00000198879;-0,263456122;-0,985282696
ENSG00000151657;0,055401708;-0,425986603
ENSG00000165629;0,008198351;-0,059604306
ENSG00000165632;0,169644461;-0,961123321
ENSG00000231496;-0,002118115;-0,005378396
ENSG00000048740;-0,00178457;-0,008364793
ENSG00000229206;0,010245186;-0,039603818
ENSG00000148429;-0,139906555;-0,454148936
ENSG00000151461;0,149269795;-1,244249795
ENSG00000181192;-0,015195881;-0,106785512
ENSG00000065665;0,124538219;-1,450016249
ENSG00000165609;0,153007008;-1,097320777
ENSG00000151465;0,075884815;-0,614299068
ENSG00000183049;0,111717705;-1,006321419
ENSG00000252438;-0,13289864;-0,276784466
ENSG00000151468;0,159609664;-1,953818635
ENSG00000123240;0,10263785;-0,9649528
ENSG00000207447;0,684654964;-2,180565508
ENSG00000107537;0,11321412;-0,492212133
ENSG00000086475;0,041931039;-0,394508608
ENSG00000165630;0,08426194;-0,542092083
ENSG00000151474;-0,005556244;-0,015511767
ENSG00000065809;0,036664578;-0,039526936
ENSG00000187522;-0,00007;-0,000740667
ENSG00000152455;0,041780344;-0,143060583
ENSG00000176244;0,005128304;-0,029666947
ENSG00000152464;-0,044650997;-0,133633647
ENSG00000152465;0,200020701;-1,352734834
ENSG00000148468;0,117310525;-1,117585426
ENSG00000148481;0,146429112;-1,056246825
ENSG00000165985;-0,10067712;-1,181556208
ENSG00000148484;-0,106042677;-1,072458219
ENSG00000026025;-0,491221149;-1,755529722
ENSG00000136738;-0,015970396;-0,170835846
ENSG00000148482;-0,141184553;-0,774251029
ENSG00000165995;-0,036114568;-0,397890688
ENSG00000241058;0,006915718;-0,092462813
ENSG00000165997;0,120212701;-0,548445771
ENSG00000120594;-0,247142718;-1,288509782
ENSG00000078114;0,095905525;-0,651926755
ENSG00000204683;0,203725495;-2,72469894
ENSG00000207264;0,495783291;-0,777747313
ENSG00000078403;0,083154344;-1,366352516
ENSG00000136770;-0,053614514;-0,354555306
ENSG00000148444;-0,079213931;-0,64214912
ENSG00000168283;0,114078163;-0,874575466
ENSG00000150867;0,021316886;-0,045209567
ENSG00000148450;-0,039620336;-0,486477824
ENSG00000165312;-0,007428315;-0,035419352
ENSG00000120549;-0,042375515;-0,134859307
ENSG00000107863;0,015075533;-0,155354514
ENSG00000099256;-0,043518592;-0,283816757
ENSG00000185875;-0,09191888;-0,800788875
ENSG00000151025;0,176326533;-1,220660975
ENSG00000136750;0,069028851;-0,386958851
ENSG00000148459;-0,086549736;-0,49651963
ENSG00000136754;-0,015976728;-0,125020268
ENSG00000107890;0,007382475;-0,038470165
ENSG00000199855;0,273215653;-0,845084501
ENSG00000136758;0,017041392;-0,136386873
ENSG00000120539;-0,112225124;-0,465570285
ENSG00000107897;0,015786204;-0,125690678
ENSG00000099246;0,025326026;-0,194765888
ENSG00000150051;0,211860738;-0,305403159
ENSG00000150054;0,235099571;-0,949348229
ENSG00000254635;0,036076242;-0,210290504
ENSG00000095787;0,007044644;-0,042557604
ENSG00000095739;-0,361779745;-1,13169651
ENSG00000224597;0,025457265;-0,681094434
ENSG00000165757;-0,118079093;-0,512663541
ENSG00000259994;0,117971699;-0,831287671
ENSG00000107951;0,131684887;-0,828120424
ENSG00000252926;-0,290951493;-0,416169163
ENSG00000183621;0,082108564;-1,003064709
ENSG00000148516;-0,032602549;-0,171640663
ENSG00000230397;-0,435328658;-1,53043731
ENSG00000165322;0,046777516;-0,624309128
ENSG00000170759;0,055348;-0,717315284
ENSG00000120616;-0,029476869;-0,266058239
ENSG00000216937;0,20862757;-1,015871746
ENSG00000150076;0,156321738;-0,680407034
ENSG00000150093;-0,110048432;-0,678868465
ENSG00000099250;-0,031558495;-0,116533937
ENSG00000148498;-0,142519798;-1,704174021
ENSG00000108094;0,097125304;-0,581750288
ENSG00000095794;-0,047652565;-0,306137778
ENSG00000108100;-0,04121838;-0,26295456
ENSG00000198105;0,127070315;-1,077906994
ENSG00000228828;0,276852978;-2,325918162
ENSG00000175395;0,145516352;-1,34416583
ENSG00000189180;0,040948852;-0,302157
ENSG00000075407;0,098037264;-1,259444065
ENSG00000099251;-0,001246259;-0,002567283
ENSG00000215146;-0,36235326;-0,601691748
ENSG00000185904;0,1373561;-0,307671417
ENSG00000234420;0,005452485;-0,018359387
ENSG00000196693;-0,100627716;-0,689513585
ENSG00000165733;0,187109217;-1,771487897
ENSG00000169826;0,041481233;-0,262355835
ENSG00000198915;-0,077136514;-0,582025112
ENSG00000169813;-0,061230654;-0,997337823
ENSG00000196793;-0,136538078;-0,613628475
ENSG00000169740;0,090503964;-0,964624456
ENSG00000107551;0,005727519;-0,020744876
ENSG00000165512;0,044180436;-0,404440224
ENSG00000165406;-0,107398857;-2,358471318
ENSG00000172661;0,178915075;-1,11999304
ENSG00000204177;-0,229551287;-1,37063083
ENSG00000231187;-0,390572204;-2,333506779
ENSG00000204172;-0,250203523;-2,092213
ENSG00000165388;-0,10822551;-0,353595981
ENSG00000107643;0,009447566;-0,072676133
ENSG00000128805;-0,027906206;-0,114029411
ENSG00000225830;0,175890225;-1,263845118
ENSG00000197444;0,246475027;-1,569246083
ENSG00000227345;0,047553681;-0,182846976
ENSG00000138293;0,018547112;-0,167456107
ENSG00000138297;0,098801216;-1,133174298
