ensembl_gene_id;log2 FC;log10 p-value
ENSG00000101557;0,185994402;-0,377248487
ENSG00000079134;0,173474939;-0,301292571
ENSG00000158270;0,297833199;-1,117789423
ENSG00000132199;-0,062629582;-0,062691921
ENSG00000176105;-0,024096776;-0,026582308
ENSG00000141433;0,111697559;-0,230912633
ENSG00000101574;0,268608348;-0,355949025
ENSG00000101596;0,206590493;-0,40159166
ENSG00000207034;0,925988183;-0,949507825
ENSG00000101577;0,237137575;-0,590621089
ENSG00000101608;0,036472392;-0,053118536
ENSG00000118680;0,077500692;-0,206960107
ENSG00000170579;0,232131875;-0,784260198
ENSG00000228344;0,261582845;-0,277051245
ENSG00000198081;0,111777947;-0,158915181
ENSG00000082397;0,148802948;-0,495626918
ENSG00000154655;0,297513499;-0,51784222
ENSG00000235552;-0,081900702;-0,049573531
ENSG00000173482;0,288810559;-0,806863821
ENSG00000206418;0,135334445;-0,365465792
ENSG00000168502;0,586392437;-1,483739991
ENSG00000178127;0,182395024;-0,439224551
ENSG00000101745;0,080000613;-0,170186632
ENSG00000128791;-0,049727617;-0,052632947
ENSG00000017797;0,174217502;-0,392237119
ENSG00000154845;0,233356425;-0,459871118
ENSG00000168461;0,173579407;-0,244412312
ENSG00000101558;0,11439074;-0,269684987
ENSG00000154856;0,159467042;-0,238603626
ENSG00000134265;0,104197409;-0,224929089
ENSG00000154864;-0,558620138;-0,418152157
ENSG00000141404;0,161520513;-0,590302737
ENSG00000255112;0,084299605;-0,175312833
ENSG00000154889;0,184913499;-0,217354888
ENSG00000141385;0,130451517;-0,240367542
ENSG00000141391;0,234873136;-0,314092186
ENSG00000134278;0,183728303;-0,453895552
ENSG00000101624;0,330009372;-0,423574871
ENSG00000128789;0,192904769;-0,313151347
ENSG00000175354;0,225833202;-0,41999516
ENSG00000085415;0,183687727;-0,299890764
ENSG00000101639;0,228452437;-0,347730674
ENSG00000168675;0,02386877;-0,038395924
ENSG00000177150;0,180396307;-0,224478583
ENSG00000101654;0,168700775;-0,317248047
ENSG00000175322;0,526092192;-0,804004567
ENSG00000252234;1,042496485;-1,217750192
ENSG00000067900;0,11221747;-0,159787778
ENSG00000141446;0,378934485;-0,592898818
ENSG00000167088;0,187892489;-0,304519298
ENSG00000158201;0,394910523;-0,450045833
ENSG00000101752;0,113126898;-0,210661486
ENSG00000199977;0,275569724;-0,440062514
