ensembl_gene_id;log2 FC;log10 p-value
ENSG00000079101;0,329012219;-0,705004936
ENSG00000101605;0,101434327;-0,772176482
ENSG00000238445;0,798523493;-1,273958465
ENSG00000207278;-0,074947465;-0,156553437
ENSG00000250933;-0,110844235;-0,357055454
ENSG00000206432;0,276501195;-1,054102235
ENSG00000207092;-0,136111136;-0,137233167
ENSG00000238309;-0,3271679;-0,536867555
ENSG00000215527;-0,188758676;-0,624585769
ENSG00000186481;0,480930207;-1,814368521
ENSG00000212329;-0,081492538;-0,139469367
ENSG00000180777;0,153087973;-0,238063343
ENSG00000199874;0,012508309;-0,013670005
ENSG00000260372;0,445135859;-1,802171471
ENSG00000199204;0,463151654;-1,270421635
ENSG00000167306;-0,006594577;-0,011552718
ENSG00000141642;0,071148857;-0,458298295
ENSG00000081923;0,234741388;-0,65654488
ENSG00000101493;0,144141739;-0,830497746
ENSG00000263146;-0,079769344;-0,223037534
ENSG00000226762;-0,148488441;-0,153758084
ENSG00000196139;0,048042574;-0,096685036
ENSG00000235141;-0,275257918;-1,041647804
ENSG00000252118;0,351201022;-0,83235594
ENSG00000239665;0,260139185;-1,697949404
ENSG00000207930;0,138800494;-0,189513754
ENSG00000151023;-0,028553613;-0,104178337
ENSG00000206605;0,615353803;-1,80184247
ENSG00000253054;0,134823526;-0,273410726
ENSG00000226578;0,044582308;-0,108434441
ENSG00000243660;-0,058613334;-0,579042106
ENSG00000252532;0,099536691;-0,123066062
ENSG00000226561;0,328241864;-1,112895714
ENSG00000235279;-0,404199313;-1,308481728
ENSG00000150275;-0,376631072;-0,554704914
ENSG00000122870;-0,330176792;-1,231668315
ENSG00000226095;-0,175001669;-0,667893466
ENSG00000221159;0,632681075;-1,379476113
ENSG00000236375;-0,098238266;-0,384787307
ENSG00000138346;-0,028717449;-0,104138999
ENSG00000224222;0,057387904;-0,176947953
ENSG00000156521;-0,019610226;-0,217286039
ENSG00000244365;0,121146081;-0,446391806
ENSG00000156042;0,235442249;-2,728157569
ENSG00000251582;0,178704673;-0,622390983
ENSG00000206756;0,390330408;-0,715807196
ENSG00000242897;0,140490708;-0,308988386
ENSG00000207275;0,462031868;-1,13945242
ENSG00000198682;0,009163722;-0,019680761
ENSG00000107796;-1,04061459;-1,137677808
ENSG00000138193;-0,279749297;-0,892590958
ENSG00000231829;0,108771282;-0,149539593
ENSG00000236552;0,17289559;-0,261415815
ENSG00000224474;0,22875283;-0,555446932
ENSG00000075826;0,166001333;-0,829772749
ENSG00000186862;0,141672608;-0,559224367
ENSG00000203886;0,097754424;-0,419811171
ENSG00000234221;-0,275556207;-0,682374973
ENSG00000228169;0,082043422;-0,348842071
ENSG00000176769;0,160701517;-0,446113833
ENSG00000171813;0,268771298;-1,094738264
ENSG00000235245;0,149726617;-1,52781187
ENSG00000198546;0,237097433;-1,45073182
ENSG00000171772;-0,191023768;-0,341901716
ENSG00000196476;-0,110245113;-0,205305093
ENSG00000234282;0,103040892;-0,176212578
ENSG00000185019;0,108430668;-0,733349403
ENSG00000226632;0,619110303;-1,965926232
ENSG00000221201;0,505737785;-1,053972995
ENSG00000201348;0,486304132;-2,363941515
ENSG00000234187;0,015762787;-0,027058606
ENSG00000239923;0,027348236;-0,110027092
ENSG00000089091;0,134700018;-0,988026855
ENSG00000221748;0,290618364;-0,744413035
ENSG00000101004;-0,173077255;-0,728307155
ENSG00000226465;0,112830661;-0,143056359
ENSG00000174365;0,028397545;-0,221752481
ENSG00000244558;0,353409648;-1,277458807
ENSG00000132801;0,129136899;-0,746545289
ENSG00000182463;0,355866197;-1,022857511
ENSG00000196074;0,384675276;-1,348178515
ENSG00000132825;0,092013952;-0,635090886
ENSG00000101181;0,095354839;-1,143495142
ENSG00000101180;0,14324059;-0,57574887
ENSG00000149679;0,08039693;-0,289495617
ENSG00000225978;0,246302911;-1,19498476
ENSG00000101216;0,041905965;-0,152735893
ENSG00000197114;0,123757797;-0,504392553
ENSG00000130584;-0,316449675;-0,802617452
ENSG00000199805;0,244138918;-1,358462424
ENSG00000216164;0,289127736;-1,039494788
ENSG00000207554;-0,16225378;-0,376470983
ENSG00000184731;0,075125407;-0,247019691
ENSG00000234423;0,269655006;-1,287656492
ENSG00000238722;0,336629869;-1,278266956
ENSG00000236008;-0,061282741;-0,206909704
ENSG00000205795;-0,073878974;-0,290295692
ENSG00000119771;-0,034672495;-0,046212457
ENSG00000221445;-0,240367383;-0,301082976
ENSG00000171303;-0,161223427;-0,304667547
ENSG00000163793;0,132141859;-0,209259952
ENSG00000200003;0,947530734;-2,485732879
ENSG00000225991;0,002007063;-0,006748879
ENSG00000213626;0,167969843;-0,386497353
ENSG00000158089;-0,013959684;-0,02449955
ENSG00000207653;0,152060937;-0,442510696
ENSG00000115841;0,259934333;-1,04178665
ENSG00000252239;0,458071117;-1,311212343
ENSG00000152527;-0,008686574;-0,013470219
ENSG00000143919;-0,113694277;-0,527256364
ENSG00000238165;-0,126268436;-0,461386825
ENSG00000233266;-0,034486303;-0,100860511
ENSG00000233723;0,143883492;-0,931782209
ENSG00000237162;-0,106171142;-0,25197596
ENSG00000232693;0,186235883;-0,680795341
ENSG00000232228;0,632561323;-2,700605435
ENSG00000250810;0,030435437;-0,034036802
ENSG00000162951;-0,032418837;-0,105922182
ENSG00000212001;-0,202860508;-0,28870683
ENSG00000153574;-0,109353949;-0,44831684
ENSG00000163067;0,034797388;-0,21246517
ENSG00000170417;0,03439577;-0,166666837
ENSG00000234177;-0,153487066;-0,625496906
ENSG00000201470;-0,49619683;-1,432421326
ENSG00000163046;0,332352083;-1,137091642
ENSG00000121988;-0,180562098;-1,345618917
ENSG00000212389;-0,242438472;-0,589302517
ENSG00000153250;0,08837004;-0,287581126
ENSG00000115290;-0,034866818;-0,103659273
ENSG00000082438;0,116501955;-0,450840532
ENSG00000223318;0,478782828;-0,653351706
ENSG00000169507;0,424944092;-0,850757639
ENSG00000228222;0,116887711;-0,381120445
ENSG00000252779;0,257264392;-0,555125852
ENSG00000144355;-0,000555022;-0,001384615
ENSG00000223960;0,055613433;-0,258899298
ENSG00000232430;0,241214745;-0,378348657
ENSG00000162998;-0,974830146;-2,008447028
ENSG00000188738;-0,10299721;-0,252753406
ENSG00000226410;0,142588962;-0,799389308
ENSG00000223249;-0,020286744;-0,02418021
ENSG00000231145;0,097859574;-0,144496273
ENSG00000252130;0,576264754;-0,838416992
ENSG00000236977;0,026267618;-0,067538707
ENSG00000212534;0,097901512;-0,231506727
ENSG00000236047;-0,068126909;-0,078640702
ENSG00000233579;-0,316150195;-1,080190616
ENSG00000115457;0,121752292;-0,283123868
ENSG00000072195;-0,084767352;-0,1555468
ENSG00000221199;0,612086335;-0,619898557
ENSG00000221432;0,726110324;-1,541621681
ENSG00000232784;0,373418103;-0,920505256
ENSG00000144460;-0,363501489;-0,544702982
ENSG00000169047;0,273610463;-1,587223921
ENSG00000241530;-0,734005163;-0,493203003
ENSG00000207626;0,448381917;-0,794377083
ENSG00000199781;0,291968922;-0,55654065
ENSG00000235529;-0,233213425;-0,711450958
ENSG00000144476;-0,140467049;-0,345029513
ENSG00000142330;-0,055353251;-0,442477504
ENSG00000162804;-0,153468431;-0,765658432
ENSG00000237161;0,841092712;-1,967233981
ENSG00000187667;0,14722423;-0,912300657
ENSG00000261622;0,176354294;-1,264394695
ENSG00000200661;0,625202368;-0,873694661
ENSG00000200398;0,948964126;-1,307510162
ENSG00000259152;-0,084818716;-0,397198486
ENSG00000104044;0,005159391;-0,011771637
ENSG00000159248;0,181351607;-0,920808738
ENSG00000103932;0,044914776;-0,348777274
ENSG00000140326;0,015144182;-0,044337589
ENSG00000240430;-0,14361922;-0,23948553
ENSG00000185607;0,213450376;-0,793567405
ENSG00000259659;-0,057567466;-0,411572877
ENSG00000140263;0,060265328;-0,180355455
ENSG00000252376;0,05721981;-0,103150845
ENSG00000242737;0,089208704;-0,300439255
ENSG00000207484;-0,046636765;-0,055294296
ENSG00000202323;0,03372023;-0,076160825
ENSG00000259935;0,284150186;-0,730417103
ENSG00000069943;-0,130591845;-0,550891719
ENSG00000261072;0,282336212;-0,834095751
ENSG00000140455;-0,238328417;-1,403306941
ENSG00000169118;-0,057023806;-0,560926923
ENSG00000166192;-0,0375212;-0,069401955
ENSG00000103855;-0,152850503;-1,014901769
ENSG00000167178;-0,048406079;-0,061335712
ENSG00000179335;0,094141389;-0,841792161
ENSG00000173548;0,034338049;-0,175825091
ENSG00000136425;0,117855187;-0,509341602
ENSG00000259562;0,022937618;-0,049823807
ENSG00000235711;0,083608602;-0,199154721
ENSG00000169330;-0,119287692;-0,330459624
ENSG00000259404;-0,153319159;-0,402936895
ENSG00000225151;0,12483703;-0,34929051
ENSG00000176700;0,097578576;-0,533246301
ENSG00000140543;0,083013259;-0,608573353
ENSG00000221630;0,81833112;-1,183066573
ENSG00000207703;-0,107046325;-0,269903102
ENSG00000239151;-0,233410307;-1,394519458
ENSG00000183208;0,216097622;-1,628379686
ENSG00000198901;0,262977878;-0,886166176
ENSG00000259706;0,057902509;-0,22270729
ENSG00000212306;-0,216750855;-0,480859523
ENSG00000259583;0,096624169;-0,303216058
ENSG00000154237;0,06016801;-0,197749231
ENSG00000188242;0,03771331;-0,325823975
ENSG00000215196;0,121743444;-0,410742848
ENSG00000249937;0,180251692;-0,229390571
ENSG00000248624;0,344628852;-1,367121493
ENSG00000251887;0,068597017;-0,219432114
ENSG00000214108;0,297192689;-1,321421846
ENSG00000249774;0,601357825;-2,231162047
ENSG00000152582;0,187933078;-2,305491888
ENSG00000249850;-0,060573965;-0,662235677
ENSG00000242493;-0,179087988;-0,329438147
ENSG00000238508;0,223036077;-0,40826359
ENSG00000222960;-0,169512026;-0,333036008
ENSG00000207627;0,375318913;-1,419240915
ENSG00000164512;0,151693458;-0,776453893
ENSG00000242765;0,221060044;-0,421466975
ENSG00000214244;0,478782406;-1,902262997
ENSG00000207352;0,144526856;-0,162836419
ENSG00000248803;0,393302464;-1,075202094
ENSG00000198237;0,475995467;-1,42486602
ENSG00000172062;0,041536298;-0,183583334
ENSG00000250615;0,267818984;-0,453378869
ENSG00000152380;-0,044741446;-0,138233101
ENSG00000131730;-0,131703979;-0,604199318
ENSG00000248794;0,18395976;-0,480132778
ENSG00000250320;-0,161146526;-0,92608134
ENSG00000249776;-0,093746775;-0,616756124
ENSG00000251293;-0,243633953;-0,767904126
ENSG00000184838;0,020837568;-0,068170236
ENSG00000252295;0,726653066;-1,497556913
ENSG00000113368;0,147501652;-0,784225351
ENSG00000248610;0,180373982;-0,914797454
ENSG00000222266;0,82748299;-1,510509834
ENSG00000199880;-0,138650153;-0,421506152
ENSG00000177839;0,329482954;-1,995759009
ENSG00000197479;0,410819516;-2,502843193
