GeneID;log2 FC;log10 p-value
A1BG-AS1;0,365697541;-0,735199898
A2M;-0,071271821;-0,056388725
A2M-AS1;-0,866767531;-0,658708409
A3GALT2;1,227290809;-1,037978496
AAAS;-0,028633153;-0,192441046
AACS;-0,363752701;-1,407633483
AAGAB;0,182126328;-0,970936462
AAK1;-0,037544369;-0,084946981
AAMDC;0,40935376;-1,99266951
AAMP;-0,167939055;-0,968925034
AAR2;-0,133180512;-0,541668515
AARS1;0,18959608;-1,601534293
AARS2;-0,150774288;-0,536331166
AARSD1;-0,058447432;-0,412073167
AASDH;-0,255019654;-1,218944965
AASDHPPT;0,052211243;-0,133005224
AASS;0,405006674;-0,506300927
AATBC;0,44670951;-0,456469066
AATK;-0,732010712;-0,48627149
ABALON;-0,621688283;-0,444452845
ABAT;0,421007885;-0,445795399
ABCA1;1,040369724;-1,655323559
ABCA10;0,291739126;-2,628508083
ABCA11P;0,246471308;-0,465449915
ABCA13;0,40921568;-0,19153782
ABCA17P;-0,819815426;-0,636004055
ABCA2;-0,002044926;-0,005658909
ABCA3;-0,130707971;-1,011055134
ABCA5;-0,076879984;-0,192023103
ABCA6;1,163373931;-0,795378242
ABCA7;0,015948593;-0,027074954
ABCA9;0,21351427;-0,208119696
ABCB1;-0,668675393;-1,345707413
ABCB10;0,114120408;-0,23192162
ABCB4;-1,74533151;-0,972262897
ABCB6;-0,385799038;-0,317890323
ABCB7;0,016700717;-0,059360799
ABCB8;0,011103624;-0,094786934
ABCB9;0,477667247;-1,249527624
ABCC1;-0,321785879;-1,594108119
ABCC10;0,119849146;-0,574385285
ABCC2;0,52610477;-1,725965818
ABCC3;-1,045617331;-0,66433482
ABCC4;-0,130726268;-0,16527542
ABCC5;0,269018036;-1,579816228
ABCC6;1,611375317;-1,483117324
ABCD1;0,255395385;-0,631582569
ABCD2;0,316796467;-0,608267777
ABCD3;-0,142506614;-0,34831473
ABCD4;-0,102248142;-0,392061354
ABCE1;0,167824513;-0,443949039
ABCF2;-0,256878827;-0,898626789
ABCF3;-0,183456883;-0,778801806
ABCG1;0,633791081;-2,173303144
ABCG2;-0,695908547;-0,304474449
ABHD1;-1,178180847;-2,38685464
ABHD10;-0,124490463;-0,616866231
ABHD11;-0,048255222;-0,097667745
ABHD11-AS1;0,406942292;-0,646197192
ABHD12;-0,228034439;-0,795402439
ABHD13;0,070805379;-0,226068268
ABHD14A;0,100377187;-0,196384681
ABHD14B;-0,087230871;-1,027513102
ABHD15;-0,221515534;-0,889423456
ABHD17A;-0,411823176;-2,054572689
ABHD17AP3;0,342152054;-0,574385346
ABHD17AP5;-1,181536448;-0,757234993
ABHD17AP6;-1,29514621;-0,726292568
ABHD17B;-0,448406667;-1,604732984
ABHD17C;-0,204190273;-0,83696703
ABHD18;-0,07615965;-0,26138325
ABHD2;-0,446647106;-0,638441463
ABHD3;0,142976981;-0,561781144
ABHD4;-0,2229007;-0,220720889
ABHD5;0,012917372;-0,016023391
ABHD6;0,015769223;-0,019819006
ABHD8;-0,256084452;-0,518455685
ABI1;0,11882066;-0,310768216
ABI2;0,159830133;-0,298341217
ABI3;0,256287994;-0,589739568
ABITRAM;0,418093973;-1,429159573
ABL1;-0,085281928;-0,365049702
ABL2;0,141445843;-0,702841762
ABLIM1;-0,360008134;-0,951130884
ABLIM2;-0,309175784;-0,668931585
ABLIM3;-0,748398122;-1,853740196
ABO;-2,788670455;-0,371365049
ABR;-0,326113943;-0,215690407
ABRACL;0,144905477;-0,635883828
ABRAXAS1;0,096859103;-0,41544808
ABRAXAS2;-0,182697309;-2,06974642
ABT1;-0,1064833;-0,541699918
ABTB1;-0,260243892;-0,267300124
ABTB2;-0,411416705;-1,258620422
AC000068,1;-0,634798705;-0,715738615
AC000068,3;1,080346912;-0,767573698
AC000089,1;0,012595254;-0,005336902
AC000095,1;-0,686408063;-0,74936629
AC000120,1;-0,200865954;-0,307439749
AC000123,2;-0,07500623;-0,110024019
AC000123,3;-0,281261184;-0,319621271
AC000403,1;-0,778808618;-2,335919371
AC002044,2;-0,535037275;-0,219033412
AC002059,1;1,126224986;-0,708879824
AC002075,2;0,188307026;-0,191143024
AC002091,1;0,346684233;-0,609841129
AC002091,2;0,14460038;-0,223707571
AC002116,2;1,031555925;-1,607353613
AC002128,1;-0,527743935;-0,589753616
AC002310,1;-0,252712581;-0,560054774
AC002347,1;-0,335074845;-0,176253351
AC002350,2;0,069081244;-0,199565129
AC002401,1;-1,966258199;-0,313313145
AC002456,1;0,173438627;-0,281850681
AC002464,1;-0,72704461;-0,299713845
AC002467,1;0,416503302;-1,525999128
AC002550,2;-0,630011245;-0,557775965
AC002553,1;-1,124841599;-0,683875254
AC002553,2;0,107502501;-0,05561917
AC002558,1;-0,786274979;-0,413102435
AC002558,3;-1,891371178;-0,511123397
AC003072,1;0,424157216;-0,917381477
AC003086,1;0,124837112;-0,529091537
AC003102,1;0,286150359;-0,855131752
AC003681,1;0,30680164;-0,751972987
AC004057,1;-0,22121752;-0,124429906
AC004067,1;-0,526516072;-0,936548659
AC004069,1;-0,077071663;-0,949829116
AC004076,2;-1,758117605;-0,793716279
AC004130,2;2,941656014;-2,255619632
AC004156,1;-0,070233538;-0,055738752
AC004223,4;0,324520294;-0,236583075
AC004233,2;-0,496792663;-0,547856739
AC004241,1;0,633893222;-1,146823411
AC004241,3;0,30702647;-0,383276597
AC004263,2;1,124969233;-2,530656675
AC004381,3;-1,665659979;-1,106582155
AC004461,2;-0,738818324;-0,991017785
AC004466,1;-0,78282835;-0,662451967
AC004466,2;-1,480954157;-0,872864942
AC004494,2;1,503429619;-1,094138917
AC004528,2;0,001454696;-0,000614824
AC004540,1;-1,150202691;-0,569398439
AC004585,1;0,536910533;-1,514344264
AC004596,1;0,409527894;-0,582520282
AC004678,1;-0,733559302;-0,71613078
AC004678,2;0,493975967;-0,304544188
AC004687,1;0,162532867;-1,429415108
AC004687,2;-0,346936348;-0,284681046
AC004706,1;0,324129003;-0,345983501
AC004706,3;0,350315028;-0,397770159
AC004771,2;0,537142071;-1,402957245
AC004771,3;-0,32258223;-0,174977645
AC004801,2;0,879628052;-1,125818625
AC004801,6;-0,831709781;-1,77113997
AC004803,1;-0,360023397;-0,446696957
AC004812,2;0,070522749;-0,273218344
AC004816,1;0,407665387;-0,208134813
AC004817,5;0,757711862;-0,756420695
AC004825,2;-0,173129736;-0,067402912
AC004832,6;-0,363559243;-0,14203057
AC004834,1;1,034579252;-0,675307952
AC004846,1;0,204529729;-0,508270463
AC004846,2;-0,291127634;-0,712181477
AC004847,1;-0,224164196;-0,337818835
AC004877,1;-1,778667371;-1,098322081
AC004877,2;0,095773238;-0,311123223
AC004890,2;0,393164512;-0,785239744
AC004908,2;0,279644307;-0,266729449
AC004921,1;0,221544525;-0,103219363
AC004922,1;-0,490325627;-0,457661065
AC004938,2;-1,766218802;-1,386942448
AC004943,2;-0,211320136;-0,563708336
AC004947,3;0,000727165;-0,000384555
AC004948,1;0,39741529;-0,221146732
AC004951,1;-0,485347891;-1,404078391
AC004951,2;0,535718746;-1,084893588
AC004951,3;-0,802899615;-0,650591457
AC004951,4;-0,954770746;-0,719083473
AC004967,1;0,674137036;-0,51729559
AC004967,2;-0,218682073;-0,140862294
AC004982,1;-0,035662327;-0,026113515
AC005005,3;-0,485444136;-0,700545637
AC005034,5;-2,295886623;-1,73305575
AC005041,5;0,756728849;-0,998454289
AC005046,1;1,415562637;-1,006711812
AC005050,3;0,97257941;-1,328221441
AC005052,2;0,328205322;-0,232858625
AC005070,3;-0,016876777;-0,078819108
AC005072,1;-0,428671929;-0,953986327
AC005076,1;-1,251767748;-1,315386835
AC005076,2;0,515421567;-0,291977932
AC005082,1;-1,278509885;-1,312657476
AC005083,1;-0,489160754;-0,134895304
AC005154,2;0,113437866;-0,306199133
AC005165,1;-0,450515119;-0,122027122
AC005165,2;0,124837112;-0,529091537
AC005220,1;-0,145499533;-0,111702534
AC005224,2;-0,520666931;-0,633769943
AC005224,3;0,309325836;-0,536896354
AC005225,3;0,035137823;-0,015403283
AC005225,4;0,063541113;-0,05325911
AC005229,3;0,665661656;-1,694669644
AC005244,1;0,992627888;-0,65840355
AC005261,1;-0,180723446;-0,500518461
AC005264,1;0,494189279;-1,508174503
AC005280,1;-0,873775014;-0,268816459
AC005280,2;-0,230411298;-0,249910234
AC005288,1;-0,081415213;-0,257405973
AC005306,1;-0,227679102;-0,202442348
AC005329,1;-0,57366888;-1,043019191
AC005332,1;-0,030125621;-0,016347668
AC005332,2;0,736698548;-0,974226348
AC005332,3;-0,448176738;-0,486064575
AC005332,4;-0,138018957;-0,770057944
AC005332,5;0,271853779;-0,858248587
AC005332,6;-0,07028069;-0,24369003
AC005332,7;1,104442686;-0,995189441
AC005391,1;0,297663508;-0,478875381
AC005394,2;-0,943002033;-0,448627944
AC005410,2;-0,109340763;-0,034983516
AC005498,3;-0,892105835;-0,713820092
AC005519,1;0,105846031;-0,222355825
AC005520,2;-0,129370431;-0,062728398
AC005520,3;0,126423363;-0,047831363
AC005520,5;0,206087432;-0,076811719
AC005532,1;-0,018689073;-0,019784397
AC005540,1;0,897282622;-0,860174738
AC005562,1;0,089435788;-0,131571872
AC005670,3;-0,201528285;-0,321469091
AC005674,1;0,209716576;-0,681478236
AC005696,3;0,390289188;-0,224383188
AC005696,4;0,524368677;-0,232565472
AC005726,1;-0,851385505;-1,378386392
AC005730,3;1,143638196;-2,497342586
AC005740,4;0,091858571;-0,086449402
AC005775,1;-1,279209603;-0,630706643
