GeneID;PAT3 - female;CTRL3 -female;log2 FC;;;
ATF6B;160074;574;8,123472545;;;
HBG2;285752;1147;7,960754394;;;
ACTBP8;169335;1147;7,205870994;;;
LILRA1;50271;574;6,452531841;;;
SLC22A1;146845;1721;6,414903236;;;
SMIM10L1;46302;574;6,333879964;;;
RN7SL473P;80699;1147;6,1366135;;;
CFAP58-DT;70115;1147;5,933785823;;;
H2BC18;207700;3442;5,915110309;;;
LCN8;68792;1147;5,906303503;;;"""Devido ausencia de replicatas biologicas em ambos os grupos, a analise de significancia estatistica (p-valor)naopode ser realizada. Os resultados reportados refletem apenas a magnitude da ateraçao (Log2 Fold Change) e nao a confiança estatistica."""
MT-TL1;34396;574;5,905046253;;;
AC092746.1;116418;2295;5,664676174;;;
IFIT1;12100000;249577;5,59937825;;;
ICOSLG;55563;1147;5,5981872;;;
IGHD;678662;14917;5,50766391;;;
FCAR;101865;2295;5,472020474;;;
AC011676.5;50271;1147;5,453789091;;;
AL627309.1;25136;574;5,452560539;;;
RSAD2;6740000;178434;5,239286144;;;
LINC02362;85990;2295;5,227602836;;;
LINC02863;251356;6885;5,190131663;;;
GTF2IP14;19844;574;5,111508315;;;
ADAMTSL4-AS1;276492;8032;5,105334659;;;
IFIT3;14800000;452682;5,030955424;;;
PABPN1L;37042;1147;5,013224699;;;
IFIT2;19200000;601281;4,996923129;;;
FCGR3B;58700000;1860000;4,979985977;;;
ITPKB-IT1;35719;1147;4,960754394;;;
FBXL13;105834;3442;4,942412271;;;
AC022506.2;51594;1721;4,905884298;;;
AC012645.1;275169;9180;4,905679984;;;
MME;6020000;209416;4,845319909;;;
CHI3L1;2790000;97536;4,838186504;;;
AL353801.3;15875;574;4,789562045;;;
LUCAT1;3390000;123928;4,773711185;;;
AGAP7P;309565;11475;4,753676308;;;
AC007298.2;345284;13196;4,709610895;;;
PRSS33;119063;4590;4,697087187;;;
AC124319.3;88636;3442;4,686573774;;;
AC092145.1;206377;8032;4,683379117;;;
AC016831.4;29104;1147;4,665280152;;;
AP000640.1;29104;1147;4,665280152;;;
CACNB4;58209;2295;4,664676174;;;
ST20-MTHFS;27781;1147;4,598161235;;;
ORM1;194470;8032;4,597644535;;;
GALNT14;55563;2295;4,597558438;;;
CACNA1E;162720;6885;4,56279112;;;
PLIN4;805663;34424;4,548689851;;;
ADAMTSL4-AS2;441858;18933;4,544607871;;;
ZNF252P-AS1;26459;1147;4,52782124;;;
GNG10;39688;1721;4,52738386;;;
CFAP58;52917;2295;4,527165215;;;
RSPH9;51594;2295;4,490637242;;;
CXCR1;15100000;685621;4,460993441;;;
AC079316.2;25136;1147;4,453817789;;;
HNRNPA1P52;50271;2295;4,453160329;;;
FAM157A;74084;3442;4,427842993;;;
MGAM;736870;34424;4,419923468;;;
AC010883.3;23813;1147;4,375812089;;;
AC113208.5;23813;1147;4,375812089;;;
SULT1A2;47625;2295;4,375153034;;;
GGCTP1;11906;574;4,374494252;;;
RHOT1P2;11906;574;4,374494252;;;
NAMPTP1;235481;11475;4,359044601;;;
CCN3;211668;10327;4,357310063;;;
TRGV5;46302;2295;4,334508453;;;
FFAR2;7930000;407930;4,280927351;;;
SEMA3B;43657;2295;4,249646937;;;
ZNRD1ASP;75407;4016;4,23086728;;;
AC015802.6;404816;21802;4,214733921;;;
LINC02680;21167;1147;4,205879514;;;
PPIAP45;31750;1721;4,205437589;;;
DPYSL4;95251;5164;4,205173333;;;
AC060766.5;10583;574;4,204554104;;;
AP005136.3;10583;574;4,204554104;;;
LINC02100;10583;574;4,204554104;;;
KIAA0319;104511;5737;4,187214469;;;
HCAR2;1890000;104421;4,177902449;;;
SLC22A16;62178;3442;4,17508521;;;
NSUN7;91282;5164;4,143769496;;;
AC130456.3;148168;8606;4,10574725;;;
CEACAM3;2750000;161795;4,087192689;;;
KCNJ2;1210000;71718;4,076527981;;;
AP002381.2;260617;15491;4,07242901;;;
OASL;3110000;185892;4,064377991;;;
AL683842.1;38365;2295;4,063224696;;;
AC099489.1;2340000;139993;4,063081934;;;
CMTM2;1400000;83766;4,062918233;;;
AC018607.1;47625;2869;4,053099219;;;
KCNJ15;4480000;275970;4,020915383;;;
AL031777.1;18521;1147;4,013224699;;;
GAPDHP14;18521;1147;4,013224699;;;
LINC02754;18521;1147;4,013224699;;;
MAMSTR;18521;1147;4,013224699;;;
AL138694.1;37042;2295;4,012595937;;;
CXCR2;19200000;1190000;4,012072832;;;
AC016957.1;9260;574;4,011889551;;;
AP000346.1;9260;574;4,011889551;;;
