GeneID,log2 FC,log10 p-value
ABCA1,1.040369724,-1.655323559
ABCC6,1.611375317,-1.483117324
AC002116.2,1.031555925,-1.607353613
AC004130.2,2.941656014,-2.255619632
AC004263.2,1.124969233,-2.530656675
AC005730.3,1.143638196,-2.497342586
AC005840.2,1.088650793,-1.34950192
AC007378.1,2.152043482,-1.511693524
AC007390.1,1.128309444,-1.513069327
AC007663.1,2.709007141,-1.912757017
AC007773.1,2.543048859,-1.907302975
AC008026.3,1.124837112,-2.528128013
AC008079.1,1.76532521,-1.982955508
AC008676.1,2.271158766,-2.142001768
AC009041.3,1.020008945,-1.446986841
AC009108.3,1.474106213,-1.974158063
AC009228.1,2.153013144,-1.511759248
AC009318.4,1.37074224,-1.440835461
AC010531.6,1.65925584,-1.520722621
AC010680.3,1.53019163,-2.355014456
AC010680.4,1.090063698,-1.615187298
AC011447.3,1.756114806,-1.36999478
AC011484.1,2.666934463,-2.719283757
AC011495.1,2.204131993,-1.494246482
AC011726.2,1.073322191,-1.64951282
AC012236.1,1.292069483,-1.355415116
AC012511.1,1.043767234,-1.933213774
AC015660.3,1.341537814,-1.453044293
AC015813.5,2.270657482,-1.765376919
AC015912.2,1.580606863,-2.712776823
AC016571.1,1.57098923,-2.294987607
AC018644.1,1.477598799,-1.414618134
AC018690.1,1.857577139,-1.485100376
AC022217.3,1.62843224,-5.109714279
AC022306.2,1.678956708,-1.757412668
AC024257.2,2.219850227,-1.672803031
AC025165.2,1.756114806,-1.370062202
AC025171.5,1.005685924,-1.376731562
AC026471.2,1.251694557,-1.421082972
AC027309.2,1.078931802,-1.620792348
AC027373.1,1.045159795,-1.508509441
AC034236.1,1.006486829,-1.586241782
AC046143.2,2.426368624,-1.655081925
AC051619.5,2.037792629,-1.826655838
AC060766.5,1.509020638,-1.789633419
AC064801.2,2.305360167,-2.53881539
AC064805.1,1.008762641,-1.45481834
AC067930.3,1.970005073,-1.941485816
AC073534.2,1.709799613,-3.094880715
AC073548.1,1.096336003,-2.26950653
AC073861.1,1.482042663,-1.526458748
AC079848.1,1.243889058,-1.83380316
AC079921.2,1.062613077,-1.808938589
AC087362.2,2.445972735,-1.726784995
AC087741.1,1.186926475,-2.266287354
AC091271.1,1.324183671,-2.181499743
AC092017.1,1.406219559,-1.888187138
AC092115.3,2.124837112,-3.435179152
AC092118.2,2.427485694,-1.893308546
AC092123.1,1.233644882,-1.931303437
AC092471.1,1.474106213,-1.974158063
AC092535.2,1.34169135,-1.892819241
AC092683.1,2.010734688,-2.132485176
AC092746.1,1.362293933,-1.474288095
AC093583.1,2.07846371,-1.64313458
AC095055.1,1.923041452,-1.743663803
AC098591.3,1.75795772,-1.371743521
AC099489.2,1.185255374,-1.402327538
AC108471.2,1.066421924,-2.209628731
AC109454.2,1.094636874,-1.387147768
AC114495.2,1.215220632,-1.961012983
AC116407.1,2.428044553,-1.657535384
AC116407.2,1.546685879,-1.624072711
AC118553.1,1.171766348,-1.47002318
AC124068.2,1.806083265,-1.355887394
AC124319.3,1.166709884,-1.988666001
AC132872.2,1.99118206,-2.394298693
AC133134.1,1.071825922,-1.694240425
AC133644.1,1.616753874,-1.552435124
AC134312.3,2.20469042,-1.729297965
AC134682.1,2.463823318,-2.284591868
AC135721.1,1.521201,-1.776290599
AC139494.1,1.143959491,-1.630445899
AC183084.1,2.81267891,-2.740824252
AC245060.4,1.820527929,-1.309824779
AC253572.1,1.345179698,-1.481221961
ACCS,1.452375608,-2.397549191
ACE,1.290239692,-2.005263335
ACTA1,1.930322751,-1.45486229
ACVRL1,1.012932233,-1.733541363
ACY3,1.22417542,-3.082869279
ADAM23,1.385366618,-1.344918712
AGRN,1.867507125,-2.921253881
AIM2,1.083213979,-1.630542062
AL008730.1,2.124837112,-3.435179152
AL021707.3,1.189831788,-2.062266116
AL031056.1,1.401122541,-1.429969502
AL078622.1,3.078655638,-2.375991444
AL109804.1,1.804812727,-1.35543365
AL136038.4,1.1138121,-1.449746883
AL138694.1,3.316433983,-3.151684298
AL138762.1,1.896484239,-1.890686369
AL138778.1,1.614340698,-1.528389822
AL138785.1,2.75795772,-2.115921325
AL139260.1,1.241023352,-1.310508852
AL139317.5,2.619450877,-1.907313112
AL158212.5,2.062677007,-2.182711849
AL160272.1,1.207054988,-1.825913612
AL160408.2,1.406942292,-1.894061729
AL353147.1,2.342920221,-1.819260084
AL353801.3,1.351383584,-1.618798267
AL356056.2,1.181806312,-1.489850144
AL357033.1,2.493801894,-2.41207656
AL390208.1,2.059957718,-1.783715496
AL390879.1,1.619624404,-1.879809842
AL445222.1,1.494308748,-1.783152397
AL592211.1,2.857284414,-2.674330625
AL683842.1,1.048397493,-2.77072162
AL928654.3,1.75795772,-1.371743521
ALPK2,2.481971928,-2.634778487
ANK3,1.130300257,-1.655051099
ANKDD1A,1.140602509,-3.019795798
ANKDD1B,1.249190293,-1.38409131
ANO7L1,1.055684245,-1.337335985
ANXA8,2.446765207,-3.679095477
AP001024.1,1.804812727,-1.35543365
AP001107.8,1.785887729,-1.760693023
AP001830.1,1.885625779,-1.433236949
AP002414.4,1.272443082,-1.409581977
AP003120.1,2.153013144,-1.511759248
AP003774.2,1.049148678,-1.83548441
APOBEC3A,1.041820176,-2.162857847
APOL4,1.079278533,-1.932044667
AQP11,1.124837112,-2.528128013
ARHGAP27,1.38963991,-2.021119973
ARHGEF17,1.566115989,-1.319554411
ATP2A1-AS1,1.043767234,-1.933213774
ATP5MGL,1.75795772,-1.371743521
ATXN2-AS,1.124837112,-2.528128013
B3GALT2,1.23130579,-1.809581332
BATF2,1.887586814,-1.887084305
BEX1,2.079885815,-1.623045802
BHLHA15,1.639939697,-2.108807188
BISPR,1.006295907,-3.041218977
BLACAT1,1.509926244,-1.423493429
BORCS8-MEF2B,1.079117648,-1.620826216
BX322639.1,2.757821405,-2.115931736
C11orf98,2.756692209,-1.76933318
C15orf48,1.271565263,-1.405173
C1QC,3.290759246,-2.452798685
C3,1.122165459,-1.605677408
CAP1P1,1.849988581,-1.623701854
CAP1P2,1.886393578,-1.846127224
CAPNS2,1.125497838,-1.505093299
CASP1P2,1.525880347,-1.974787195
CBWD5,1.068166585,-1.739322331
CCDC194,2.197957706,-1.854427935
CCDC68,1.124837112,-2.528128013
CCDC74B,1.124837112,-2.528128013
CCHCR1,1.379471257,-1.309014914
CCR8,2.05712769,-2.421106444
CD274,1.328241929,-3.426951341
CD300H,2.259443327,-2.636705097
CD300LD,1.11917776,-1.310366968
CD70,1.131167016,-1.944124546
CDH5,1.728870387,-2.18307168
CDK2AP2P2,2.405360873,-1.779225724
CDKN2A,1.342824928,-2.061476481
CEACAM1,1.558771511,-2.48115222
CELF5,1.378729758,-2.120454117
CENPK,1.518678771,-1.442440229
CENPS,1.401122541,-1.429969502
CEP170B,1.285884226,-1.566006795
CFAP20DC,1.406942292,-1.894061729
CFAP73,1.125035298,-2.53192366
CHMP5,1.077071758,-3.315084294
CHN1,1.358266233,-1.432783364
CIBAR1,1.67402104,-1.430180845
CLBA1,1.248345263,-2.466627023
CLEC12B,1.023842662,-1.926694376
CLEC4D,1.099795514,-1.409425755
CLSPN,1.40439519,-2.183127922
CMPK2,3.3727495,-3.848215294
COL23A1,2.027896259,-1.719718987
COX6CP1,1.066421924,-2.209628731
CPLX1,1.079201284,-2.376410524
CR786580.1,1.339509252,-2.15668472
CTH,1.894532171,-1.844870281
CXCL10,2.56068551,-2.077884156
CXCL9,2.510382695,-1.879525101
CYP4F29P,1.969025603,-2.299334656
DCST1-AS1,1.460691541,-1.400986246
DCT,1.125035298,-2.53192366
DDO,2.116512593,-1.946011702
DDX39B,3.785259261,-3.20941775
DDX58,1.343566786,-2.852781853
DDX60,1.789424974,-3.669626909
DDX60L,1.423628648,-1.798430523
DES,1.756300042,-1.603066983
DHX58,1.374490235,-2.925491356
DLGAP5,1.330363836,-1.93991637
DPYSL4,2.271050825,-1.862461825
DQX1,2.866274773,-3.047932292
DTL,1.384646844,-3.245180498
DUSP4,1.667394474,-1.611926883
DYNC1I2P1,2.494679713,-2.416471748
E2F8,1.106845298,-1.394485292
EDA,1.254824226,-1.599372796
EIF2AK2,1.62770187,-2.007128484
EIF4HP1,1.306352085,-2.204369091
EMP1,1.275121557,-1.465094089
ENPP3,1.225987033,-1.353506695
ENSAP2,2.756114806,-2.114346942
EPB41L3,1.057865524,-2.283158438
EPHA2,1.298856524,-1.656460046
EPHB2,1.203178682,-2.208527979
EPSTI1,2.188654434,-3.503416146
ERCC6L,2.051057558,-1.72899872
EREG,1.21742367,-1.431592272
EXOC3L1,2.031213579,-2.291921292
FAM225A,1.773148358,-1.948509739
FBLN5,1.488857751,-3.014621829
FBXO39,3.620777265,-2.468245659
FCAR,3.143444292,-1.838187838
FCGR1CP,1.009447875,-1.874915778
FFAR3,2.856406595,-2.669953331
FFAR4,2.243795491,-1.901091119
FLG-AS1,1.804812727,-1.35543365
FLJ46284,1.990459689,-1.470871033
FLOT1,3.105853022,-2.268006439
FN1,1.709799613,-3.094880715
FOXC1,1.978351437,-1.544899702
FRG1GP,2.135389397,-1.494666542
FST,5.271474388,-4.228896787
FTCD,3.757821405,-2.786199773
FZD6,1.492958572,-1.441408543
FZD7,1.124969233,-2.530656675
GALM,1.196687709,-2.752677809
GAPDHP14,1.111514343,-1.6126986
GAPDHP63,1.709799613,-3.094880715
GAPDHP65,2.75795772,-2.115921325
GBP1,1.470532612,-2.575416845
GBP1P1,1.605218035,-2.027340888
GCATP1,1.363159977,-2.017457929
GFPT2,1.242614191,-1.685549286
GGNBP2,1.271501116,-1.555076201
GIHCG,1.167556199,-1.505264797
GLDC,2.471549155,-2.385851093
GNAS-AS1,1.30680164,-2.214578711
GOLGA2P10,1.052507137,-2.109858469
GPR15,1.889386571,-2.207484407
GPR63,1.923542823,-1.872280286
GPX1P1,4.113543419,-3.574454166
GREM2,1.892404658,-1.844425575
GRIK1-AS1,1.555103889,-1.595633375
GTSCR1,1.806507026,-1.356185693
GUCY2D,1.929006034,-2.53436011
H1-0,1.0450201,-1.841990709
H2BC18,1.380155069,-3.531480161
HACD1,1.237904984,-1.411375801
HAR1B,1.317814058,-1.601450948
HAS3,1.857390412,-2.729119621
HBEGF,1.645815035,-1.374969157
HCP5,4.339103354,-3.476692678
HELZ2,1.357209386,-2.442346335
HERC2P3,2.033666531,-2.311271545
HERC5,3.045963608,-3.289359508
HERC6,1.541511847,-3.380160771
HES4,2.444687837,-3.034758326
HLA-DRB1,2.440295829,-1.981783227
HLA-DRB5,3.107037097,-2.246569861
HLF,1.06545774,-1.430938946
HMGB1P10,1.171766348,-1.47002318
HMGB3,1.230902433,-1.562934543
HMMR,1.127680538,-1.334676597
HP,1.577317583,-2.56385257
HSF2BP,1.756728849,-2.010979398
HSF4,1.203407841,-2.045993012
HTR7,1.670497221,-1.695273403
IATPR,1.163108841,-1.466245429
IFI16,1.038122913,-2.148460979
IFI35,1.138648658,-2.432462576
IFI44,3.304143379,-3.377936783
IFI44L,4.084454332,-3.933138086
IFI6,2.665093255,-3.043012627
IFIH1,1.450897776,-2.988130671
IFIT1,4.049298428,-3.717036405
IFIT2,2.671674134,-2.75574784
IFIT3,3.007819504,-2.957039791
IFIT5,1.751599113,-2.57551963
IFNG-AS1,1.041591202,-1.416251391
IGFBP4,1.07603515,-1.622682511
IGHA1,1.479944047,-1.423278022
IGHA2,1.065767935,-2.6337859
IGHD,4.436232587,-4.888963071
IGKV1D-13,3.703047234,-2.401657203
IGKV3D-15,1.756114806,-1.36999478
IGLC2,3.021871754,-3.418025086
IGLV1-47,1.085109359,-1.894079196
IGLV1-51,2.969259704,-3.532991841
IGLV2-11,2.123068615,-2.992481979
IGLV2-14,2.0279314,-2.933473368
IGLV2-18,2.106250198,-2.176777522
IGLV2-23,1.468679906,-2.395302948
IGLV3-1,1.824928865,-1.618607195
IGLV3-16,1.600942129,-1.467109716
IGLV3-25,1.634128268,-3.131381909
IGLV3-27,2.461427408,-2.298480358
IGLV5-45,1.88131308,-2.522791312
IGLV6-57,2.184808757,-2.382570951
IGLV7-46,1.432671224,-1.903080085
IGLV8-61,1.347017366,-2.626133657
IL10,2.722568665,-2.034667385
IL6,1.736965594,-1.860309211
ILDR1,1.157438035,-2.173452859
INHBA,2.271565263,-2.247643594
IRF7,1.45599188,-1.662210658
ISG15,3.080301818,-3.190891189
