GeneID	Influencia_Combinada	Cor_Log2FC_TEA_M_vs_C	log10p_M_vs_Controle	log2FC_F_vs_M_TEA
A2M	0.713180559	-1.355089297	1.53716936	-0.071271821
ABCA1	0.998580138	0.956790552	0.924728766	1.040369724
ABCA7	0.5864390620000001	1.156929531	1.302506262	0.015948593
ABCC6	1.1543206815	-0.697266046	0.557939064	1.611375317
ABHD1	0.8020940575	0.426007268	0.742960335	-1.178180847
ABHD2	0.7897584200000001	1.132869734	1.305415387	-0.446647106
ABHD3	0.7872125065	1.431448032	2.349083304	0.142976981
ABL1	0.560210629	-1.03513933	2.219718583	-0.085281928
ABLIM3	0.967772936	-1.18714775	0.891973271	-0.748398122
ABTB2	0.727236478	1.043056251	2.612571089	-0.411416705
AC000089.1	0.8593424205	-1.706089587	1.668462883	0.012595254
AC002059.1	1.3977025969999999	-1.669180208	1.338293557	1.126224986
AC002075.2	1.458842209	-2.729377392	2.110916466	0.188307026
AC002091.2	0.7639099145	1.383219449	1.332440273	0.14460038
AC002116.2	0.588237873	0.144919821	0.185278977	1.031555925
AC002456.1	1.246373677	2.319308727	1.522899528	0.173438627
AC002467.1	1.0834165935	1.750329885	2.894340421	0.416503302
AC003102.1	0.6530907995	-1.02003124	1.731231162	0.286150359
AC004069.1	0.8693232434999999	1.661574824	3.241905729	-0.077071663
AC004130.2	2.9225173705	-2.903378727	1.415042205	2.941656014
AC004233.2	2.8073601514999997	5.11792764	1.40029778	-0.496792663
AC004241.1	1.130277158	1.626661094	1.415030237	0.633893222
AC004263.2	0.832378927	-0.539788621	0.602466072	1.124969233
AC004687.1	0.8510752119999999	1.539617557	4.359772157	0.162532867
AC004771.2	0.8769013484999999	1.216660626	1.458156284	0.537142071
AC004877.1	1.4020242815000001	-1.025381192	1.393845295	-1.778667371
AC004938.2	1.5496406034999999	-1.333062405	2.450463567	-1.766218802
AC004951.1	1.131663086	1.777978281	3.483284062	-0.485347891
AC004951.2	0.8236296495	1.111540553	1.44023635	0.535718746
AC005034.5	1.5024901525	-0.709093682	1.001096571	-2.295886623
AC005070.3	0.7396881635	1.46249955	2.743612112	-0.016876777
AC005072.1	1.0781417715	1.727611614	2.288796508	-0.428671929
AC005076.1	0.6556599280000001	0.059552108	0.070602592	-1.251767748
AC005082.1	1.3079514865	1.337393088	1.477532196	-1.278509885
AC005264.1	0.8181780015	1.142166724	1.71320119	0.494189279
AC005730.3	0.9953149555	0.846991715	1.486363664	1.143638196
AC005785.1	0.855183504	-0.59132282	0.478841943	-1.119044188
AC005840.2	1.6270930780000001	2.165535363	1.086875565	1.088650793
AC005840.4	0.6877868335	1.041192233	1.895296104	-0.334381434
AC005912.1	1.260274489	-2.040918638	1.675886243	0.47963034
AC005944.1	1.1920499715	-1.215265826	1.013247177	-1.168834117
AC005954.1	0.707006359	1.283432103	1.573592875	-0.130580615
AC006033.2	1.640102506	2.245281362	2.174402815	-1.03492365
AC006042.2	0.780357477	-1.19879127	2.336502655	-0.361923684
AC006064.4	0.846885572	-1.602755972	1.38610663	-0.091015172
AC006077.2	0.8808635195000001	-1.616029136	1.375499577	0.145697903
AC006213.7	1.691859574	1.044879195	0.73217283	-2.338839953
AC006330.1	1.2042114465	2.191743727	5.335730776	-0.216679166
AC006435.2	1.1183731505	1.221200257	1.765111869	-1.015546044
AC006504.5	0.599191734	1.094360193	2.224709085	-0.104023275
AC006538.1	2.0361125455	2.700355451	3.157072937	-1.37186964
AC006978.1	0.9093442195	-1.518375334	1.577586877	-0.300313105
AC007191.1	0.717804966	1.3965375	2.008206867	-0.039072432
AC007292.2	1.301425528	1.324490376	2.220164424	-1.27836068
AC007298.2	2.4262056215000003	4.638714732	1.698437895	0.213696511
AC007342.3	1.513101472	3.017182303	1.622513401	0.009020641
AC007342.7	1.500882122	2.804403962	1.762398872	-0.197360282
AC007378.1	1.5413051245	-0.930566767	0.477583944	2.152043482
AC007384.1	0.9722710045	0.197027737	0.257720345	-1.747514272
AC007390.1	0.6151742560000001	0.102039068	0.073718011	1.128309444
AC007406.4	0.545622922	1.083323128	1.875259618	0.007922716
AC007546.3	1.3877451360000002	2.496791271	1.414589988	0.278699001
AC007637.1	0.9648242790000001	1.086141685	1.419943695	-0.843506873
AC007663.1	2.2061298325	-1.703252524	0.844457444	2.709007141
AC007773.1	1.8484342385	-1.153819618	0.858391896	2.543048859
AC007785.3	0.8952817175000001	1.439423925	1.43592279	-0.35113951
AC007879.3	1.4034575084999998	1.503215786	1.54832806	-1.303699231
AC008026.3	0.9983403805	-0.871843649	0.50520343	1.124837112
AC008038.1	0.8116489025	-1.513367831	2.174445502	0.109929974
AC008079.1	1.456547112	1.147769014	0.852557803	1.76532521
AC008569.2	0.915769308	1.663904423	1.716997264	0.167634193
AC008676.1	1.163702397	-0.056246028	0.029464587	2.271158766
AC008694.2	2.0969773175	-3.574226716	2.406804505	0.619727919
AC008750.1	0.7809972665	0.340973712	0.558140569	-1.221020821
AC008750.6	2.6634297495	1.44061684	1.424226788	-3.886242659
AC008750.7	1.1200312975	1.455127419	1.586766025	-0.784935176
AC008764.6	1.4885320775000002	2.747432417	1.533129179	0.229631738
AC008764.8	0.7847408955	1.391537191	2.269882644	-0.1779446
AC008770.3	0.786616163	1.385518143	1.596407485	-0.187714183
AC008895.1	0.649220113	1.288487331	1.40621392	0.009952895
AC008945.1	0.7361784605	1.238575723	1.432259148	0.233781198
AC008969.1	0.5509645415	1.076241501	2.029287358	-0.025687582
AC009041.3	0.8162244685	-0.612439992	0.534748229	1.020008945
AC009061.2	0.909356501	1.737184656	2.336837361	-0.081528346
AC009065.4	1.0252123	1.895623814	3.64182537	0.154800786
AC009093.7	1.5703739185	2.098322778	2.680229543	-1.042425059
AC009093.8	0.8621895585	1.561323902	1.763850217	-0.163055215
AC009108.3	1.0697923624999999	-0.665478512	0.449752501	1.474106213
AC009120.5	1.7381922324999999	2.120899632	4.133796187	-1.355484833
AC009159.3	1.1472059909999999	1.159024866	1.466172089	-1.135387116
AC009163.7	0.97522446	1.893965358	1.478246625	0.056483562
AC009226.1	1.3988368005	1.335415041	1.949667076	-1.46225856
AC009228.1	1.711531438	-1.270049732	0.779313274	2.153013144
AC009237.14	1.2029416565	2.158399351	3.130297561	0.247483962
AC009318.4	0.8223631995	-0.273984159	0.133695368	1.37074224
AC009812.1	1.023447875	-1.769259573	3.457592483	0.277636177
AC009831.3	1.6205176805	-2.054605715	1.867700884	-1.186429646
AC009948.1	0.95551372	1.416254382	1.722855204	0.494773058
AC009996.1	0.811114011	1.275063056	1.419527301	-0.347164966
AC010168.2	0.56362742	1.100968817	2.444939215	-0.026286023
AC010210.1	0.768406089	1.293419528	2.112018153	0.24339265
AC010343.1	0.819776712	-1.177492183	1.407287653	0.462061241
AC010359.3	1.5026972675	3.002688408	1.569598223	0.002706127
AC010422.4	1.742260628	1.986196406	1.792742262	-1.49832485
AC010531.6	1.039458222	0.419660604	0.205510249	1.65925584
AC010619.2	1.008439395	1.617275682	5.526857791	0.399603108
AC010642.2	0.588039376	-1.062760449	1.671157955	0.113318303
AC010680.3	1.415007371	1.299823112	1.524041067	1.53019163
AC010680.4	0.720385131	0.350706564	0.442168234	1.090063698
AC011379.2	0.8798738085000001	-1.26193119	1.493250829	0.497816427
AC011447.3	1.835347807	-1.914580808	0.841821409	1.756114806
AC011447.7	1.2252775084999998	2.137378132	1.320032193	-0.313176885
AC011468.1	0.661801906	1.084532348	2.557480555	0.239071464
AC011484.1	1.969986145	-1.273037827	0.87147276	2.666934463
AC011495.1	2.5359759865	-2.86781998	1.100418585	2.204131993
AC011676.5	1.336656197	2.278416992	1.471525107	0.394895402
AC011726.2	1.653010852	2.232699513	1.453814981	1.073322191
AC011933.2	1.3661152399999998	2.4048334	1.420947936	-0.32739708
AC011944.2	0.9738504175	1.391991542	1.583266668	0.555709293
AC012005.1	1.7815800455	-2.147112542	1.346424576	1.416047549
AC012020.1	0.6616147394999999	1.288701862	2.266956708	0.034527617
AC012184.3	0.646957515	1.220605459	2.492506675	0.073309571
AC012184.4	0.8358379819999999	0.493334496	0.698013969	-1.178341468
AC012236.1	1.006522911	-0.720976339	0.275622792	1.292069483
AC012313.4	2.186130973	2.396454046	1.850628293	-1.9758079
AC012511.1	0.8712871204999999	0.698807007	0.701154906	1.043767234
AC012615.1	0.6288383705	-1.229417859	1.345474503	-0.028258882
AC012645.1	2.4369855625000003	4.435495309	1.55733891	0.438475816
AC012651.1	0.79418721	1.23367937	3.084232729	0.35469505
AC013468.1	1.4762997765	0.674213897	0.806547388	-2.278385656
AC013731.1	1.042598134	1.614813095	2.093434673	0.470383173
AC015660.3	1.017744419	-0.693951024	0.801796255	1.341537814
AC015802.4	2.1725853505	2.755580684	1.691029191	-1.589590017
AC015813.5	1.1790115145	-0.087365547	0.034481128	2.270657482
