GeneID;log2 FC;log10 p-value
A1BG-AS1;-0,126704682;-0,179550209
A2M;-1,355089297;-1,53716936
A2M-AS1;1,000782397;-0,750534298
A3GALT2;0,293873971;-0,114853888
AAAS;-0,274214704;-0,411379259
AACS;-0,239887324;-1,034728992
AAGAB;-0,192828139;-0,87843671
AAK1;-0,379936306;-0,931165374
AAMDC;-0,562201926;-0,947739822
AAMP;-0,281338918;-1,052969416
AAR2;-0,505577518;-1,64589065
AARS1;0,049816694;-0,059377572
AARS2;0,238182501;-0,749604118
AARSD1;0,059332601;-0,064506578
AASDH;0,504722291;-1,93566862
AASDHPPT;0,604694209;-1,348963051
AASS;-0,951988746;-0,835313953
AATBC;0,928114891;-0,602226737
AATK;3,258401721;-0,997784644
ABALON;1,104522117;-0,683761278
ABAT;0,952599352;-0,633849201
ABCA1;0,956790552;-0,924728766
ABCA10;-0,68153773;-0,815433499
ABCA11P;-0,108951425;-0,163822715
ABCA13;-0,71234116;-0,362603978
ABCA17P;0,902085163;-0,677605706
ABCA2;-0,29636381;-0,821631589
ABCA3;-0,380778075;-0,837957514
ABCA5;0,094689688;-0,112623496
ABCA6;-0,786451805;-0,472197557
ABCA7;1,156929531;-1,302506262
ABCA9;-0,107812056;-0,065698009
ABCB1;0,153093952;-0,294956613
ABCB10;0,196029808;-0,211824255
ABCB4;0,601682113;-0,506816275
ABCB6;1,912147534;-0,966296269
ABCB7;-0,324371516;-1,392012818
ABCB8;-0,201902957;-1,012522977
ABCB9;-1,005581604;-0,518668983
ABCC1;-0,708435167;-1,520420162
ABCC10;0,190296088;-0,700507704
ABCC2;0,243114177;-0,936351271
ABCC3;-0,424448192;-0,435638982
ABCC4;-0,187644092;-0,225968431
ABCC5;0,735750222;-3,531694838
ABCC6;-0,697266046;-0,557939064
ABCD1;-0,584862162;-1,563179997
ABCD2;0,52588363;-0,719241103
ABCD3;0,224056208;-0,373991793
ABCD4;-0,119729849;-0,407755661
ABCE1;0,107538999;-0,16512669
ABCF2;0,170181935;-0,328560505
ABCF3;-0,351449583;-1,613998638
ABCG1;0,951875432;-2,847812462
ABCG2;0,821570292;-0,340238494
ABHD1;0,426007268;-0,742960335
ABHD10;0,486719073;-2,003664532
ABHD11;0,005144469;-0,006701522
ABHD11-AS1;0,291113987;-0,253077523
ABHD12;-0,803496458;-2,512742159
ABHD13;-0,255984315;-0,349258257
ABHD14A;-0,518702362;-0,599188018
ABHD14B;-0,651941165;-1,312426133
ABHD15;-0,306236329;-1,284652685
ABHD17A;-0,493068238;-1,272589377
ABHD17AP3;-0,195188631;-0,159198847
ABHD17AP5;0,735146588;-0,505195983
ABHD17AP6;-0,342003276;-0,282030067
ABHD17B;0,023143973;-0,021607674
