GeneID;log2 FC;Grupo
ATF6B;8,123472545;Sangue
HBG2;7,960754394;Sangue
ACTBP8;7,205870994;Sangue
LILRA1;6,452531841;Sangue
SLC22A1;6,414903236;Sangue
SMIM10L1;6,333879964;Sangue
RN7SL473P;6,1366135;Sangue
CFAP58-DT;5,933785823;Sangue
H2BC18;5,915110309;Sangue
LCN8;5,906303503;Sangue
MT-TL1;5,905046253;Sangue
AC092746.1;5,664676174;Sangue
IFIT1;5,59937825;Sangue
ICOSLG;5,5981872;Sangue
IGHD;5,50766391;Sangue
FCAR;5,472020474;Sangue
AC011676.5;5,453789091;Sangue
AL627309.1;5,452560539;Sangue
RSAD2;5,239286144;Sangue
LINC02362;5,227602836;Sangue
LINC02863;5,190131663;Sangue
GTF2IP14;5,111508315;Sangue
ADAMTSL4-AS1;5,105334659;Sangue
IFIT3;5,030955424;Sangue
PABPN1L;5,013224699;Sangue
IFIT2;4,996923129;Sangue
FCGR3B;4,979985977;Sangue
ITPKB-IT1;4,960754394;Sangue
FBXL13;4,942412271;Sangue
AC022506.2;4,905884298;Sangue
AC012645.1;4,905679984;Sangue
MME;4,845319909;Sangue
CHI3L1;4,838186504;Sangue
AL353801.3;4,789562045;Sangue
LUCAT1;4,773711185;Sangue
AGAP7P;4,753676308;Sangue
AC007298.2;4,709610895;Sangue
PRSS33;4,697087187;Sangue
AC124319.3;4,686573774;Sangue
AC092145.1;4,683379117;Sangue
AC016831.4;4,665280152;Sangue
AP000640.1;4,665280152;Sangue
CACNB4;4,664676174;Sangue
ST20-MTHFS;4,598161235;Sangue
ORM1;4,597644535;Sangue
GALNT14;4,597558438;Sangue
CACNA1E;4,56279112;Sangue
PLIN4;4,548689851;Sangue
ADAMTSL4-AS2;4,544607871;Sangue
ZNF252P-AS1;4,52782124;Sangue
GNG10;4,52738386;Sangue
CFAP58;4,527165215;Sangue
RSPH9;4,490637242;Sangue
CXCR1;4,460993441;Sangue
AC079316.2;4,453817789;Sangue
HNRNPA1P52;4,453160329;Sangue
FAM157A;4,427842993;Sangue
MGAM;4,419923468;Sangue
AC010883.3;4,375812089;Sangue
AC113208.5;4,375812089;Sangue
SULT1A2;4,375153034;Sangue
GGCTP1;4,374494252;Sangue
RHOT1P2;4,374494252;Sangue
NAMPTP1;4,359044601;Sangue
CCN3;4,357310063;Sangue
TRGV5;4,334508453;Sangue
FFAR2;4,280927351;Sangue
SEMA3B;4,249646937;Sangue
ZNRD1ASP;4,23086728;Sangue
AC015802.6;4,214733921;Sangue
LINC02680;4,205879514;Sangue
PPIAP45;4,205437589;Sangue
DPYSL4;4,205173333;Sangue
AC060766.5;4,204554104;Sangue
AP005136.3;4,204554104;Sangue
LINC02100;4,204554104;Sangue
KIAA0319;4,187214469;Sangue
HCAR2;4,177902449;Sangue
SLC22A16;4,17508521;Sangue
NSUN7;4,143769496;Sangue
AC130456.3;4,10574725;Sangue
CEACAM3;4,087192689;Sangue
KCNJ2;4,076527981;Sangue
AP002381.2;4,07242901;Sangue
OASL;4,064377991;Sangue
AL683842.1;4,063224696;Sangue
AC099489.1;4,063081934;Sangue
CMTM2;4,062918233;Sangue
AC018607.1;4,053099219;Sangue
KCNJ15;4,020915383;Sangue
AL031777.1;4,013224699;Sangue
GAPDHP14;4,013224699;Sangue
