"initial_alias","converted_alias","name","description","namespace"
"ABCA1","ENSG00000165029","ABCA1","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCC6","ENSG00000091262","ABCC6","ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AC002116","ENSG00000105270","CLIP3","CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]","EMBL"
"AC002116","ENSG00000161277","THAP8","THAP domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23191]","EMBL"
"AC002116","ENSG00000181392","SYNE4","spectrin repeat containing nuclear envelope family member 4 [Source:HGNC Symbol;Acc:HGNC:26703]","EMBL"
"AC002116","ENSG00000239382","ALKBH6","alkB homolog 6 [Source:HGNC Symbol;Acc:HGNC:28243]","EMBL"
"AC004130","ENSG00000105855","ITGB8","integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]","EMBL"
"AC004263","ENSG00000089154","GCN1","GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]","EMBL"
"AC004263","ENSG00000089157","RPLP0","ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]","EMBL"
"AC004263","ENSG00000089159","PXN","paxillin [Source:HGNC Symbol;Acc:HGNC:9718]","EMBL"
"AC005730","ENSG00000108599","AKAP10","A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]","EMBL"
"AC005730","ENSG00000128487","SPECC1","sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615]","EMBL"
"AC005840","ENSG00000111319","SCNN1A","sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]","EMBL"
"AC005840","ENSG00000111321","LTBR","lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]","EMBL"
"AC005840","ENSG00000139190","VAMP1","vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]","EMBL"
"AC005840","ENSG00000139192","TAPBPL","TAP binding protein like [Source:HGNC Symbol;Acc:HGNC:30683]","EMBL"
"AC005840","ENSG00000139193","CD27","CD27 molecule [Source:HGNC Symbol;Acc:HGNC:11922]","EMBL"
"AC007378","ENSG00000150938","CRIM1","cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]","EMBL"
"AC007378","ENSG00000171055","FEZ2","fasciculation and elongation protein zeta 2 [Source:HGNC Symbol;Acc:HGNC:3660]","EMBL"
"AC007390","ENSG00000003509","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]","EMBL"
"AC007390","ENSG00000115816","CEBPZ","CCAAT enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]","EMBL"
"AC007390","ENSG00000115825","PRKD3","protein kinase D3 [Source:HGNC Symbol;Acc:HGNC:9408]","EMBL"
"AC007390","ENSG00000138068","SULT6B1","sulfotransferase family 6B member 1 [Source:HGNC Symbol;Acc:HGNC:33433]","EMBL"
"AC007390","ENSG00000218739","CEBPZOS","CEBPZ opposite strand [Source:HGNC Symbol;Acc:HGNC:49288]","EMBL"
"AC007663","ENSG00000040608","RTN4R","reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]","EMBL"
"AC007663","ENSG00000128185","DGCR6L","DiGeorge syndrome critical region gene 6 like [Source:HGNC Symbol;Acc:HGNC:18551]","EMBL"
"AC007773","ENSG00000168813","ZNF507","zinc finger protein 507 [Source:HGNC Symbol;Acc:HGNC:23783]","EMBL"
"AC007773","ENSG00000178904","DPY19L3","dpy-19 like C-mannosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:27120]","EMBL"
"AC008026","ENSG00000087995","METTL2A","methyltransferase 2A, tRNA N3-cytidine [Source:HGNC Symbol;Acc:HGNC:25755]","EMBL"
"AC008026","ENSG00000146872","TLK2","tousled like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]","EMBL"
"AC008026","ENSG00000172421","EFCAB3","EF-hand calcium binding domain 3 [Source:HGNC Symbol;Acc:HGNC:26379]","EMBL"
"AC008079","ENSG00000183785","TUBA8","tubulin alpha 8 [Source:HGNC Symbol;Acc:HGNC:12410]","EMBL"
"AC008079","ENSG00000184979","USP18","ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]","EMBL"
"AC008079","ENSG00000215193","PEX26","peroxisomal biogenesis factor 26 [Source:HGNC Symbol;Acc:HGNC:22965]","EMBL"
"AC008079","ENSG00000288683","None","novel protein, PEX26-TUBA8","EMBL"
"AC008676","ENSG00000055163","CYFIP2","cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]","EMBL"
"AC008676","ENSG00000135074","ADAM19","ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]","EMBL"
"AC008676","ENSG00000172548","NIPAL4","NIPA like domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28018]","EMBL"
"AC009041","ENSG00000103227","LMF1","lipase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:14154]","EMBL"
"AC009041","ENSG00000184471","C1QTNF8","C1q and TNF related 8 [Source:HGNC Symbol;Acc:HGNC:31374]","EMBL"
"AC009108","ENSG00000103241","FOXF1","forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]","EMBL"
"AC009108","ENSG00000103248","MTHFSD","methenyltetrahydrofolate synthetase domain containing [Source:HGNC Symbol;Acc:HGNC:25778]","EMBL"
"AC009108","ENSG00000176678","FOXL1","forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]","EMBL"
"AC009228","ENSG00000198399","ITSN2","intersectin 2 [Source:HGNC Symbol;Acc:HGNC:6184]","EMBL"
"AC009318","ENSG00000064763","FAR2","fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]","EMBL"
