"initial_alias","converted_alias","name","description","namespace"
"ABCA7","ENSG00000064687","ABCA7","ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD2","ENSG00000140526","ABHD2","abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD3","ENSG00000158201","ABHD3","abhydrolase domain containing 3, phospholipase [Source:HGNC Symbol;Acc:HGNC:18718]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABTB2","ENSG00000166016","ABTB2","ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AC002091","ENSG00000141506","PIK3R5","phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]","EMBL"
"AC002456","ENSG00000058091","CDK14","cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]","EMBL"
"AC002456","ENSG00000157224","CLDN12","claudin 12 [Source:HGNC Symbol;Acc:HGNC:2034]","EMBL"
"AC002456","ENSG00000251154","PTTG1IP2","PTTG1IP family member 2 [Source:HGNC Symbol;Acc:HGNC:55318]","EMBL"
"AC002467","ENSG00000091137","SLC26A4","solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]","EMBL"
"AC002467","ENSG00000091138","SLC26A3","solute carrier family 26 member 3 [Source:HGNC Symbol;Acc:HGNC:3018]","EMBL"
"AC002467","ENSG00000105879","CBLL1","Cbl proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:21225]","EMBL"
"AC004069","ENSG00000168769","TET2","tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]","EMBL"
"AC004233","ENSG00000127564","PKMYT1","protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]","EMBL"
"AC004233","ENSG00000262152","GREP1","glycine rich extracellular protein 1 [Source:HGNC Symbol;Acc:HGNC:27549]","EMBL"
"AC004233","ENSG00000289281","None","novel protein","EMBL"
"AC004241","ENSG00000005175","RPAP3","RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]","EMBL"
"AC004241","ENSG00000079337","RAPGEF3","Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]","EMBL"
"AC004241","ENSG00000111405","ENDOU","endonuclease, poly(U) specific [Source:HGNC Symbol;Acc:HGNC:14369]","EMBL"
"AC004241","ENSG00000211584","SLC48A1","solute carrier family 48 member 1 [Source:HGNC Symbol;Acc:HGNC:26035]","EMBL"
"AC004687","ENSG00000005379","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]","EMBL"
"AC004687","ENSG00000005381","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","EMBL"
"AC004687","ENSG00000108375","RNF43","ring finger protein 43 [Source:HGNC Symbol;Acc:HGNC:18505]","EMBL"
"AC004687","ENSG00000167419","LPO","lactoperoxidase [Source:HGNC Symbol;Acc:HGNC:6678]","EMBL"
