ensembl_gene_id	external_gene_id	chromosome_name	start_position	end_position	strand	gene_biotype
ENSG00000222974	7SK	7	12916309	12916571	1	misc_RNA
ENSG00000252374	Y_RNA	7	14050294	14050388	-1	misc_RNA
ENSG00000222164	7SK	7	18847616	18847902	-1	misc_RNA
ENSG00000200847	Y_RNA	7	23531411	23531512	-1	misc_RNA
ENSG00000201432	Y_RNA	7	36377276	36377387	-1	misc_RNA
ENSG00000201566	Y_RNA	7	37474718	37474819	1	misc_RNA
ENSG00000199273	Y_RNA	7	40167720	40167831	-1	misc_RNA
ENSG00000201933	Y_RNA	7	43136331	43136443	1	misc_RNA
ENSG00000222154	7SK	7	53557841	53558132	-1	misc_RNA
ENSG00000201565	Y_RNA	7	66762640	66762741	-1	misc_RNA
ENSG00000200857	Y_RNA	7	68972496	68972608	-1	misc_RNA
ENSG00000199940	7SK	7	71150437	71150732	-1	misc_RNA
ENSG00000201862	Y_RNA	7	72453891	72453991	-1	misc_RNA
ENSG00000201282	Y_RNA	7	72481665	72481766	1	misc_RNA
ENSG00000199913	Y_RNA	7	72509641	72509742	1	misc_RNA
ENSG00000202035	Y_RNA	7	72818118	72818219	-1	misc_RNA
ENSG00000239069	Y_RNA	7	74311936	74312037	1	misc_RNA
ENSG00000202021	Y_RNA	7	74712847	74712948	-1	misc_RNA
ENSG00000199641	Y_RNA	7	74927121	74927222	-1	misc_RNA
ENSG00000202178	Y_RNA	7	74955146	74955247	-1	misc_RNA
ENSG00000199870	Y_RNA	7	74983126	74983227	-1	misc_RNA
ENSG00000201138	Y_RNA	7	75010915	75011015	1	misc_RNA
ENSG00000200874	Y_RNA	7	75142349	75142450	-1	misc_RNA
ENSG00000238560	Y_RNA	7	76152922	76153023	1	misc_RNA
ENSG00000201885	Y_RNA	7	76642900	76643001	1	misc_RNA
ENSG00000201959	Y_RNA	7	76670964	76671065	1	misc_RNA
ENSG00000222432	Y_RNA	7	77525197	77525309	1	misc_RNA
ENSG00000200397	Y_RNA	7	86847927	86848028	-1	misc_RNA
ENSG00000207488	Y_RNA	7	89881237	89881334	1	misc_RNA
ENSG00000200769	Y_RNA	7	91831557	91831648	-1	misc_RNA
ENSG00000222220	7SK	7	94430826	94431124	1	misc_RNA
ENSG00000199475	7SK	7	97228245	97228572	-1	misc_RNA
ENSG00000199711	Y_RNA	7	99534233	99534334	1	misc_RNA
ENSG00000201913	Y_RNA	7	99928400	99928500	-1	misc_RNA
ENSG00000222636	7SK	7	100701580	100701848	1	misc_RNA
ENSG00000200552	Y_RNA	7	101977281	101977382	1	misc_RNA
ENSG00000238324	7SK	7	102497897	102498202	1	misc_RNA
ENSG00000251852	Y_RNA	7	103073908	103074008	-1	misc_RNA
ENSG00000252047	Y_RNA	7	103075441	103075539	-1	misc_RNA
ENSG00000222386	7SK	7	103124655	103124986	-1	misc_RNA
ENSG00000202406	7SK	7	111928678	111929007	1	misc_RNA
ENSG00000199764	Y_RNA	7	114847948	114848050	-1	misc_RNA
ENSG00000199224	Y_RNA	7	115473327	115473427	-1	misc_RNA
ENSG00000252115	Y_RNA	7	116549931	116550018	-1	misc_RNA
ENSG00000252704	7SK	7	121376497	121376779	1	misc_RNA
ENSG00000200629	Y_RNA	7	128804690	128804802	1	misc_RNA
ENSG00000199516	Y_RNA	7	129594533	129594634	1	misc_RNA
ENSG00000207184	Y_RNA	7	129601829	129601916	-1	misc_RNA
ENSG00000206705	Y_RNA	7	135814728	135814829	-1	misc_RNA
ENSG00000222514	7SK	7	137776000	137776061	1	misc_RNA
ENSG00000252820	Y_RNA	7	137859791	137859882	1	misc_RNA
ENSG00000202072	Y_RNA	7	138100225	138100319	1	misc_RNA
ENSG00000251728	Y_RNA	7	139794497	139794592	-1	misc_RNA
ENSG00000201354	Y_RNA	7	140309647	140309755	1	misc_RNA
ENSG00000200673	7SK	7	144546848	144547177	-1	misc_RNA
ENSG00000252310	Y_RNA	7	148638580	148638658	1	misc_RNA
ENSG00000252316	Y_RNA	7	148660407	148660502	1	misc_RNA
ENSG00000202354	Y_RNA	7	148680847	148680948	1	misc_RNA
ENSG00000201098	Y_RNA	7	148684228	148684340	-1	misc_RNA
ENSG00000222941	Y_RNA	7	151613412	151613503	1	misc_RNA
ENSG00000253088	Y_RNA	7	152099865	152099978	1	misc_RNA
ENSG00000201066	7SK	7	154973591	154973894	1	misc_RNA
ENSG00000207061	Y_RNA	7	155978816	155978917	-1	misc_RNA
ENSG00000207320	Y_RNA	X	3559484	3559596	-1	misc_RNA
ENSG00000206844	Y_RNA	X	9842641	9842741	-1	misc_RNA
ENSG00000202469	Y_RNA	X	10029262	10029363	1	misc_RNA
ENSG00000207151	Y_RNA	X	11134212	11134313	-1	misc_RNA
ENSG00000206792	Y_RNA	X	12072943	12073045	-1	misc_RNA
ENSG00000206795	Y_RNA	X	12167245	12167357	1	misc_RNA
ENSG00000222946	7SK	X	12632122	12632316	-1	misc_RNA
ENSG00000199622	7SK	X	13614355	13614667	1	misc_RNA
ENSG00000199410	Y_RNA	X	16930338	16930440	-1	misc_RNA
ENSG00000207025	Y_RNA	X	18414114	18414215	-1	misc_RNA
ENSG00000202144	Y_RNA	X	19394892	19394993	1	misc_RNA
ENSG00000206663	Y_RNA	X	20003176	20003277	-1	misc_RNA
ENSG00000252978	7SK	X	20470226	20470549	1	misc_RNA
ENSG00000206639	Y_RNA	X	21890825	21890926	1	misc_RNA
ENSG00000202272	Y_RNA	X	23800327	23800427	1	misc_RNA
ENSG00000252486	Y_RNA	X	27270236	27270352	-1	misc_RNA
ENSG00000206677	Y_RNA	X	40352092	40352192	1	misc_RNA
ENSG00000238426	Y_RNA	X	41175741	41175842	1	misc_RNA
ENSG00000200702	Y_RNA	X	44260849	44260950	1	misc_RNA
ENSG00000202495	Y_RNA	X	49935841	49935941	-1	misc_RNA
ENSG00000207408	Y_RNA	X	53353767	53353879	1	misc_RNA
ENSG00000199422	Vault	X	53489150	53489251	1	misc_RNA
ENSG00000200635	Y_RNA	X	55609166	55609267	1	misc_RNA
ENSG00000206646	Y_RNA	X	67580917	67581029	1	misc_RNA
ENSG00000201377	Y_RNA	X	69616129	69616225	1	misc_RNA
ENSG00000199751	Y_RNA	X	70710916	70711017	-1	misc_RNA
ENSG00000238926	Y_RNA	X	71504795	71504895	-1	misc_RNA
ENSG00000199567	Y_RNA	X	85274612	85274719	1	misc_RNA
ENSG00000202410	Y_RNA	X	93433004	93433105	1	misc_RNA
ENSG00000223260	7SK	X	95665431	95665781	-1	misc_RNA
ENSG00000207426	Y_RNA	X	95956506	95956618	-1	misc_RNA
